productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2
97053,Team Aqua's Grimer,Team Aquas Grimer,https://tcgplayer-cdn.tcgplayer.com/product/97053_200w.jpg,3,1525,https://cpt.tcgcsv.com/5RN,2022-12-14T16:22:48.143,1,7/34,Common,Psychic,70,Basic,[P] Pound (10),Px2,None,2,1.2,1.72,4.0,1.96,,Normal,,[2P] Mud-Slap (30)
97053,Team Aqua's Grimer,Team Aquas Grimer,https://tcgplayer-cdn.tcgplayer.com/product/97053_200w.jpg,3,1525,https://cpt.tcgcsv.com/5RN,2022-12-14T16:22:48.143,1,7/34,Common,Psychic,70,Basic,[P] Pound (10),Px2,None,2,4.44,5.16,24.99,7.07,,Reverse Holofoil,,[2P] Mud-Slap (30)
97054,Team Aqua's Muk,Team Aquas Muk,https://tcgplayer-cdn.tcgplayer.com/product/97054_200w.jpg,3,1525,https://cpt.tcgcsv.com/6RN,2022-12-14T16:22:54.42,1,8/34,Holo Rare,Psychic,110,Stage 1,"[2P] Pester (60+)
<br>If your opponent's Active Pokemon is affected by a Special Condition, this attack does 60 more  damage.",Px2,None,3,0.8,1.84,96.95,2.17,1.25,Holofoil,"<b>Ability</b> Sludge Festival
<br>The Retreat Cost of each Pokemon in play without Team Aqua in their name is Colorless more.",
97054,Team Aqua's Muk,Team Aquas Muk,https://tcgplayer-cdn.tcgplayer.com/product/97054_200w.jpg,3,1525,https://cpt.tcgcsv.com/6RN,2022-12-14T16:22:54.42,1,8/34,Holo Rare,Psychic,110,Stage 1,"[2P] Pester (60+)
<br>If your opponent's Active Pokemon is affected by a Special Condition, this attack does 60 more  damage.",Px2,None,3,2.99,3.76,19.99,5.65,,Reverse Holofoil,"<b>Ability</b> Sludge Festival
<br>The Retreat Cost of each Pokemon in play without Team Aqua in their name is Colorless more.",
97055,Team Aqua's Seviper,Team Aquas Seviper,https://tcgplayer-cdn.tcgplayer.com/product/97055_200w.jpg,3,1525,https://cpt.tcgcsv.com/7RN,2022-12-14T16:23:00.473,1,9/34,Common,Psychic,90,Basic,"[P] Venomous Fang (10)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.",Px2,None,1,0.42,0.8,4.0,0.86,,Normal,,"[2] Venom Tail (30)
<br>If your opponent's Active Pokemon is affected by a Special Condition, discard an Energy attached to it."
97055,Team Aqua's Seviper,Team Aquas Seviper,https://tcgplayer-cdn.tcgplayer.com/product/97055_200w.jpg,3,1525,https://cpt.tcgcsv.com/7RN,2022-12-14T16:23:00.473,1,9/34,Common,Psychic,90,Basic,"[P] Venomous Fang (10)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Poisoned.",Px2,None,1,8.35,10.4,15.0,12.09,,Reverse Holofoil,,"[2] Venom Tail (30)
<br>If your opponent's Active Pokemon is affected by a Special Condition, discard an Energy attached to it."
97056,Team Magma's Baltoy,Team Magmas Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/97056_200w.jpg,3,1525,https://cpt.tcgcsv.com/8RN,2022-12-14T16:23:09.587,1,10/34,Common,Psychic,50,Basic,"[1P] Telekinesis
<br>This attack does 20 damage to 1 of your opponent's Pokemon. This attack's damage isn't affected by Weakness or Resistance.",Px2,None,1,0.15,0.54,4.0,0.55,,Normal,,
97056,Team Magma's Baltoy,Team Magmas Baltoy,https://tcgplayer-cdn.tcgplayer.com/product/97056_200w.jpg,3,1525,https://cpt.tcgcsv.com/8RN,2022-12-14T16:23:09.587,1,10/34,Common,Psychic,50,Basic,"[1P] Telekinesis
<br>This attack does 20 damage to 1 of your opponent's Pokemon. This attack's damage isn't affected by Weakness or Resistance.",Px2,None,1,1.7,2.0,19.99,2.2,,Reverse Holofoil,,
97057,Team Magma's Claydol,Team Magmas Claydol,https://tcgplayer-cdn.tcgplayer.com/product/97057_200w.jpg,3,1525,https://cpt.tcgcsv.com/9RN,2024-12-27T08:19:04.257,1,11/34,Holo Rare,Psychic,90,Stage 1,[2P] Power Beam (70),Px2,None,2,0.75,1.5,7.99,2.07,,Holofoil,"<b>Ability</b> Magma Switch
<br>Once during your turn <em>(before your attack)</em>, you may move 1 Energy attached to 1 of your Pokemon to 1 of your Pokemon with Team Magma in its name.",
97057,Team Magma's Claydol,Team Magmas Claydol,https://tcgplayer-cdn.tcgplayer.com/product/97057_200w.jpg,3,1525,https://cpt.tcgcsv.com/9RN,2024-12-27T08:19:04.257,1,11/34,Holo Rare,Psychic,90,Stage 1,[2P] Power Beam (70),Px2,None,2,2.01,2.09,19.99,5.88,,Reverse Holofoil,"<b>Ability</b> Magma Switch
<br>Once during your turn <em>(before your attack)</em>, you may move 1 Energy attached to 1 of your Pokemon to 1 of your Pokemon with Team Magma in its name.",
97058,Team Magma's Aron,Team Magmas Aron,https://tcgplayer-cdn.tcgplayer.com/product/97058_200w.jpg,3,1525,https://cpt.tcgcsv.com/bRN,2025-11-21T00:40:01.887,1,12/34,Common,Fighting,60,Basic,[F] Gnaw (10),Gx2,None,2,0.62,1.03,4.0,1.74,1.77,Normal,,
97058,Team Magma's Aron,Team Magmas Aron,https://tcgplayer-cdn.tcgplayer.com/product/97058_200w.jpg,3,1525,https://cpt.tcgcsv.com/bRN,2025-11-21T00:40:01.887,1,12/34,Common,Fighting,60,Basic,[F] Gnaw (10),Gx2,None,2,3.5,4.5,19.99,5.36,,Reverse Holofoil,,
97059,Team Magma's Lairon,Team Magmas Lairon,https://tcgplayer-cdn.tcgplayer.com/product/97059_200w.jpg,3,1525,https://cpt.tcgcsv.com/cRN,2023-11-03T04:58:24.817,1,13/34,Common,Fighting,90,Stage 1,[1F] Gnaw (30),Gx2,None,3,0.24,0.83,4.0,0.88,,Normal,,"[2F] Take Down (60)
<br>This Pokemon does 10 damage to itself."
97059,Team Magma's Lairon,Team Magmas Lairon,https://tcgplayer-cdn.tcgplayer.com/product/97059_200w.jpg,3,1525,https://cpt.tcgcsv.com/cRN,2023-11-03T04:58:24.817,1,13/34,Common,Fighting,90,Stage 1,[1F] Gnaw (30),Gx2,None,3,3.71,6.03,8.5,6.34,,Reverse Holofoil,,"[2F] Take Down (60)
<br>This Pokemon does 10 damage to itself."
97060,Team Magma's Aggron,Team Magmas Aggron,https://tcgplayer-cdn.tcgplayer.com/product/97060_200w.jpg,3,1525,https://cpt.tcgcsv.com/dRN,2023-08-20T09:03:05.977,1,14/34,Holo Rare,Fighting,140,Stage 2,"[1F] Rock Stamp (40x)
<br>Discard as many Fighting Energy attached to your Pokemon as you like. This attack does 40 times the number of Energy you discarded.",Gx2,None,4,1.45,2.5,9.99,3.02,,Holofoil,,"[1FFF] Rock Tempest (120)
<br>This attack does 20 damage to each of your opponent's Benched Pokemon that has any damage counters on it. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
97060,Team Magma's Aggron,Team Magmas Aggron,https://tcgplayer-cdn.tcgplayer.com/product/97060_200w.jpg,3,1525,https://cpt.tcgcsv.com/dRN,2023-08-20T09:03:05.977,1,14/34,Holo Rare,Fighting,140,Stage 2,"[1F] Rock Stamp (40x)
<br>Discard as many Fighting Energy attached to your Pokemon as you like. This attack does 40 times the number of Energy you discarded.",Gx2,None,4,5.0,7.88,39.99,8.13,,Reverse Holofoil,,"[1FFF] Rock Tempest (120)
<br>This attack does 20 damage to each of your opponent's Benched Pokemon that has any damage counters on it. <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
97061,Team Magma's Groudon EX,Team Magmas Groudon EX,https://tcgplayer-cdn.tcgplayer.com/product/97061_200w.jpg,3,1525,https://cpt.tcgcsv.com/fRN,2022-12-14T16:23:41.437,1,15/34,Ultra Rare,Fighting,190,Basic,"[1FFF] Magma Quake (80+)
<br>If your opponent's Active Pokemon already has damage counters on it, this attack does 80 more damage.",Gx2,None,4,240.99,473.17,999.99,471.74,500.0,Holofoil,"<b>Ability</b> Power Saver
<br>As long as the number of Pokemon in play <em>(both yours and your opponent's)</em> that has Team Magma in its name is less than 4, this Pokemon can't attack.",
97062,Team Magma's Poochyena,Team Magmas Poochyena,https://tcgplayer-cdn.tcgplayer.com/product/97062_200w.jpg,3,1525,https://cpt.tcgcsv.com/gRN,2026-02-03T18:43:23.6,1,17/34,Common,Darkness,60,Basic,"[1] Infiltration
<br>Your opponent reveals his or her hand.",Fx2,P-20,1,0.41,1.19,4.0,1.49,1.01,Normal,,[1F] Bite (20)
97062,Team Magma's Poochyena,Team Magmas Poochyena,https://tcgplayer-cdn.tcgplayer.com/product/97062_200w.jpg,3,1525,https://cpt.tcgcsv.com/gRN,2026-02-03T18:43:23.6,1,17/34,Common,Darkness,60,Basic,"[1] Infiltration
<br>Your opponent reveals his or her hand.",Fx2,P-20,1,6.77,8.15,12.99,9.55,,Reverse Holofoil,,[1F] Bite (20)
97063,Team Aqua's Poochyena,Team Aquas Poochyena,https://tcgplayer-cdn.tcgplayer.com/product/97063_200w.jpg,3,1525,https://cpt.tcgcsv.com/hRN,2023-03-13T08:03:52.22,1,16/34,Common,Darkness,60,Basic,"[1] Roar
<br> Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.",Fx2,P-20,1,0.59,1.11,4.0,1.29,0.7,Normal,,[1W] Bite (20)
97063,Team Aqua's Poochyena,Team Aquas Poochyena,https://tcgplayer-cdn.tcgplayer.com/product/97063_200w.jpg,3,1525,https://cpt.tcgcsv.com/hRN,2023-03-13T08:03:52.22,1,16/34,Common,Darkness,60,Basic,"[1] Roar
<br> Your opponent switches his or her Active Pokemon with 1 of his or her Benched Pokemon.",Fx2,P-20,1,1.99,2.6,9.99,5.47,,Reverse Holofoil,,[1W] Bite (20)
97064,Team Aqua's Mightyena,Team Aquas Mightyena,https://tcgplayer-cdn.tcgplayer.com/product/97064_200w.jpg,3,1525,https://cpt.tcgcsv.com/jRN,2026-02-17T12:17:00.497,1,18/34,Common,Darkness,100,Stage 1,"[1W] Teampact (30x)
<br>Flip a coin for each Pokemon you have in play that has Team Aqua in its name. This attack does 30 damage times the number of heads.",Fx2,P-20,1,0.95,1.24,99.0,1.64,1.53,Normal,,"[1WW] Crunch (80)
<br>Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon."
97064,Team Aqua's Mightyena,Team Aquas Mightyena,https://tcgplayer-cdn.tcgplayer.com/product/97064_200w.jpg,3,1525,https://cpt.tcgcsv.com/jRN,2026-02-17T12:17:00.497,1,18/34,Common,Darkness,100,Stage 1,"[1W] Teampact (30x)
<br>Flip a coin for each Pokemon you have in play that has Team Aqua in its name. This attack does 30 damage times the number of heads.",Fx2,P-20,1,3.09,16.75,20.99,10.84,,Reverse Holofoil,,"[1WW] Crunch (80)
<br>Flip a coin. If heads, discard an Energy attached to your opponent's Active Pokemon."
97065,Team Magma's Mightyena,Team Magmas Mightyena,https://tcgplayer-cdn.tcgplayer.com/product/97065_200w.jpg,3,1525,https://cpt.tcgcsv.com/kRN,2024-02-29T17:44:36.11,1,19/34,Common,Darkness,100,Stage 1,[1F] Bite (30),Fx2,P-20,1,0.1,0.85,96.95,1.39,24.98,Normal,,"[1FF] Hostile Fang (80)
<br>If your opponent's Active Pokemon has Team Aqua in its name, this attack does 40 more damage."
97065,Team Magma's Mightyena,Team Magmas Mightyena,https://tcgplayer-cdn.tcgplayer.com/product/97065_200w.jpg,3,1525,https://cpt.tcgcsv.com/kRN,2024-02-29T17:44:36.11,1,19/34,Common,Darkness,100,Stage 1,[1F] Bite (30),Fx2,P-20,1,6.38,9.22,20.0,8.82,,Reverse Holofoil,,"[1FF] Hostile Fang (80)
<br>If your opponent's Active Pokemon has Team Aqua in its name, this attack does 40 more damage."
97066,Team Aqua's Carvanha,Team Aquas Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/97066_200w.jpg,3,1525,https://cpt.tcgcsv.com/lRN,2022-12-14T16:24:43.087,1,20/34,Common,Darkness,50,Basic,"[D] Fin Smack (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.",Lx2,None,1,0.3,0.7,7.99,0.75,,Normal,,
97066,Team Aqua's Carvanha,Team Aquas Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/97066_200w.jpg,3,1525,https://cpt.tcgcsv.com/lRN,2022-12-14T16:24:43.087,1,20/34,Common,Darkness,50,Basic,"[D] Fin Smack (10x)
<br>Flip 2 coins. This attack does 10 damage times the number of heads.",Lx2,None,1,3.92,4.27,29.99,5.31,,Reverse Holofoil,,
97067,Team Aqua's Sharpedo,Team Aquas Sharpedo,https://tcgplayer-cdn.tcgplayer.com/product/97067_200w.jpg,3,1525,https://cpt.tcgcsv.com/mRN,2022-12-14T16:28:25.91,1,21/34,Holo Rare,Darkness,90,Stage 1,[2D] Sharp Fang (70),Lx2,None,0,2.14,4.7,96.95,4.88,96.95,Holofoil,"<b>Ability</b> Aqua Search
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for a Pokemon with Team Aqua in its name, reveal it, and put it into your hand. Shuffle your deck afterward.",
97067,Team Aqua's Sharpedo,Team Aquas Sharpedo,https://tcgplayer-cdn.tcgplayer.com/product/97067_200w.jpg,3,1525,https://cpt.tcgcsv.com/mRN,2022-12-14T16:28:25.91,1,21/34,Holo Rare,Darkness,90,Stage 1,[2D] Sharp Fang (70),Lx2,None,0,7.25,11.47,14.94,10.98,,Reverse Holofoil,"<b>Ability</b> Aqua Search
<br>Once during your turn <em>(before your attack)</em>, you may search your deck for a Pokemon with Team Aqua in its name, reveal it, and put it into your hand. Shuffle your deck afterward.",
97068,Team Magma's Zangoose,Team Magmas Zangoose,https://tcgplayer-cdn.tcgplayer.com/product/97068_200w.jpg,3,1525,https://cpt.tcgcsv.com/nRN,2024-07-26T17:27:08.413,1,22/34,Common,Colorless,90,Basic,"[1] Call for Family
<br>Search your deck for 2 Basic Pokemon that have Team Magma in their names and put them onto your Bench. Shuffle your deck afterward.",Fx2,None,1,0.49,0.77,4.0,1.3,,Normal,,"[3] Team Play (20x)
<br>This attack does 20 damage times the number of Pokemon in play with Team Magma in its name."
97068,Team Magma's Zangoose,Team Magmas Zangoose,https://tcgplayer-cdn.tcgplayer.com/product/97068_200w.jpg,3,1525,https://cpt.tcgcsv.com/nRN,2024-07-26T17:27:08.413,1,22/34,Common,Colorless,90,Basic,"[1] Call for Family
<br>Search your deck for 2 Basic Pokemon that have Team Magma in their names and put them onto your Bench. Shuffle your deck afterward.",Fx2,None,1,7.0,9.99,24.99,11.45,,Reverse Holofoil,,"[3] Team Play (20x)
<br>This attack does 20 damage times the number of Pokemon in play with Team Magma in its name."
97069,Aqua Diffuser,Aqua Diffuser,https://tcgplayer-cdn.tcgplayer.com/product/97069_200w.jpg,3,1525,https://cpt.tcgcsv.com/pRN,2022-12-14T16:28:39.74,1,23/34,Uncommon,Tool,,,"[W] Aqua Diffuser
<br>Your opponent's Active Pokemon is now Poisoned and Confused.",,,,0.2,0.51,4.0,0.67,,Normal,"Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.

<br>The Team Aqua Pokemon this card is attached to can also use the attack on this card. <em>(You still need the necessary Energy to use this attack.)",
97069,Aqua Diffuser,Aqua Diffuser,https://tcgplayer-cdn.tcgplayer.com/product/97069_200w.jpg,3,1525,https://cpt.tcgcsv.com/pRN,2022-12-14T16:28:39.74,1,23/34,Uncommon,Tool,,,"[W] Aqua Diffuser
<br>Your opponent's Active Pokemon is now Poisoned and Confused.",,,,0.7,1.0,14.99,1.79,,Reverse Holofoil,"Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.

<br>The Team Aqua Pokemon this card is attached to can also use the attack on this card. <em>(You still need the necessary Energy to use this attack.)",
97070,Magma Pointer,Magma Pointer,https://tcgplayer-cdn.tcgplayer.com/product/97070_200w.jpg,3,1525,https://cpt.tcgcsv.com/qRN,2025-12-02T23:51:34.24,1,24/34,Uncommon,Tool,,,"[F] Magma Pointer
<br>This attack does 20 damage to 1 of your opponent's Pokemon <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,,,0.25,0.45,4.0,0.53,0.47,Normal,"Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.

<br>The Team Magma Pokemon this card is attached to can also use the attack on this card. <em>(You still need the necessary Energy to use this attack.)",
97070,Magma Pointer,Magma Pointer,https://tcgplayer-cdn.tcgplayer.com/product/97070_200w.jpg,3,1525,https://cpt.tcgcsv.com/qRN,2025-12-02T23:51:34.24,1,24/34,Uncommon,Tool,,,"[F] Magma Pointer
<br>This attack does 20 damage to 1 of your opponent's Pokemon <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,,,0.5,0.85,9.99,1.16,,Reverse Holofoil,"Attach a Pokemon Tool to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.

<br>The Team Magma Pokemon this card is attached to can also use the attack on this card. <em>(You still need the necessary Energy to use this attack.)",
97071,Team Aqua Admin,Team Aqua Admin,https://tcgplayer-cdn.tcgplayer.com/product/97071_200w.jpg,3,1525,https://cpt.tcgcsv.com/rRN,2022-12-14T16:28:52.033,1,25/34,Uncommon,Supporter,,,,,,,0.28,0.54,4.0,0.67,,Normal,Attach a basic Energy card from your discard pile to 1 of your Pokemon with Team Aqua in its name.,
97071,Team Aqua Admin,Team Aqua Admin,https://tcgplayer-cdn.tcgplayer.com/product/97071_200w.jpg,3,1525,https://cpt.tcgcsv.com/rRN,2022-12-14T16:28:52.033,1,25/34,Uncommon,Supporter,,,,,,,1.1,3.5,24.99,7.16,,Reverse Holofoil,Attach a basic Energy card from your discard pile to 1 of your Pokemon with Team Aqua in its name.,
97072,Team Aqua Grunt,Team Aqua Grunt,https://tcgplayer-cdn.tcgplayer.com/product/97072_200w.jpg,3,1525,https://cpt.tcgcsv.com/sRN,2022-12-14T16:28:58.307,1,26/34,Uncommon,Supporter,,,,,,,0.24,0.5,4.0,0.65,,Normal,"Discard a card from your hand. Then, draw 3 cards. If you discarded a card with Team Aqua in its name, draw 4 cards instead.",
97072,Team Aqua Grunt,Team Aqua Grunt,https://tcgplayer-cdn.tcgplayer.com/product/97072_200w.jpg,3,1525,https://cpt.tcgcsv.com/sRN,2022-12-14T16:28:58.307,1,26/34,Uncommon,Supporter,,,,,,,4.0,4.31,24.99,10.06,,Reverse Holofoil,"Discard a card from your hand. Then, draw 3 cards. If you discarded a card with Team Aqua in its name, draw 4 cards instead.",
97073,Team Aqua's Great Ball,Team Aquas Great Ball,https://tcgplayer-cdn.tcgplayer.com/product/97073_200w.jpg,3,1525,https://cpt.tcgcsv.com/tRN,2025-11-21T00:38:35.667,1,27/34,Uncommon,Item,,,,,,,0.5,0.97,4.0,1.07,0.74,Normal,"Search your deck for a Basic Pokemon that has Team Aqua in its name and a basic Water Energy, reveal them, and put them into your hand. Shuffle your deck afterward.",
97073,Team Aqua's Great Ball,Team Aquas Great Ball,https://tcgplayer-cdn.tcgplayer.com/product/97073_200w.jpg,3,1525,https://cpt.tcgcsv.com/tRN,2025-11-21T00:38:35.667,1,27/34,Uncommon,Item,,,,,,,3.46,4.5,9.99,4.57,,Reverse Holofoil,"Search your deck for a Basic Pokemon that has Team Aqua in its name and a basic Water Energy, reveal them, and put them into your hand. Shuffle your deck afterward.",
97074,Team Aqua's Secret Base,Team Aquas Secret Base,https://tcgplayer-cdn.tcgplayer.com/product/97074_200w.jpg,3,1525,https://cpt.tcgcsv.com/vRN,2026-03-09T14:45:40.507,1,28/34,Uncommon,Stadium,,,,,,,0.25,0.7,4.0,0.97,1.01,Normal,Each player's Pokemon that does not have Team Aqua in its name pays Colorless more to Retreat.,
97074,Team Aqua's Secret Base,Team Aquas Secret Base,https://tcgplayer-cdn.tcgplayer.com/product/97074_200w.jpg,3,1525,https://cpt.tcgcsv.com/vRN,2026-03-09T14:45:40.507,1,28/34,Uncommon,Stadium,,,,,,,1.0,1.99,5.0,2.9,,Reverse Holofoil,Each player's Pokemon that does not have Team Aqua in its name pays Colorless more to Retreat.,
97075,Team Magma Admin,Team Magma Admin,https://tcgplayer-cdn.tcgplayer.com/product/97075_200w.jpg,3,1525,https://cpt.tcgcsv.com/wRN,2022-12-14T16:29:19.58,1,29/34,Uncommon,Supporter,,,,,,,0.23,0.54,4.0,0.75,,Normal,Put 3 Pokemon with Team Magma in their names from your discard pile into your hand.,
97075,Team Magma Admin,Team Magma Admin,https://tcgplayer-cdn.tcgplayer.com/product/97075_200w.jpg,3,1525,https://cpt.tcgcsv.com/wRN,2022-12-14T16:29:19.58,1,29/34,Uncommon,Supporter,,,,,,,0.75,2.16,11.99,4.09,,Reverse Holofoil,Put 3 Pokemon with Team Magma in their names from your discard pile into your hand.,
97076,Team Magma Grunt,Team Magma Grunt,https://tcgplayer-cdn.tcgplayer.com/product/97076_200w.jpg,3,1525,https://cpt.tcgcsv.com/xRN,2025-12-03T05:29:20.027,1,30/34,Uncommon,Supporter,,,,,,,0.45,1.0,2.0,1.5,0.82,Normal,"Discard a card from your hand. Then, draw 3 cards. If you discarded a card with Team Magma in its name, draw 4 cards instead.",
97076,Team Magma Grunt,Team Magma Grunt,https://tcgplayer-cdn.tcgplayer.com/product/97076_200w.jpg,3,1525,https://cpt.tcgcsv.com/xRN,2025-12-03T05:29:20.027,1,30/34,Uncommon,Supporter,,,,,,,1.4,2.25,4321.0,2.93,,Reverse Holofoil,"Discard a card from your hand. Then, draw 3 cards. If you discarded a card with Team Magma in its name, draw 4 cards instead.",
97077,Team Magma's Great Ball,Team Magmas Great Ball,https://tcgplayer-cdn.tcgplayer.com/product/97077_200w.jpg,3,1525,https://cpt.tcgcsv.com/zRN,2024-07-26T17:27:08.523,1,31/34,Uncommon,Item,,,,,,,10.0,14.95,44.98,13.02,19.97,Normal,"Search your deck for a Basic Pokemon that has Team Magma in its name and a basic Fighting Energy, reveal them, and put them into your hand. Shuffle your deck afterward.",
