productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extHP,extStage,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,extUPC
84566,Dark Ariados,Dark Ariados,https://tcgplayer-cdn.tcgplayer.com/product/84566_200w.jpg,3,1444,https://cpt.tcgcsv.com/lRH,2022-11-28T19:14:34.087,1,017/105,Rare,Grass,,4.13,5.64,10.0,5.29,,Unlimited,60,Stage 1,"[G] Entangle
<br>If your opponent has any Benched Pokémon, choose 1 of them and switch it with the Defending Pokémon, then flip a coin. If heads, the new Defending Pokémon is now Paralyzed.","[GGG] Poison Bind (30)
<br>The Defending Pokémon is now Poisoned. Flip a coin. If heads, the Defending Pokémon can't retreat until the end of your opponent's next turn and if the effect of an attack, Pokémon Power, or Trainer card would change that player's Active Pokémon, that part of the effect does nothing.",R,,2,
84576,Dark Crobat,Dark Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84576_200w.jpg,3,1444,https://cpt.tcgcsv.com/xRH,2022-11-28T19:16:42.99,1,002/105,Holo Rare,Grass,"<strong>Pokémon Power: Surprise Bite</strong> When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokémon. This power does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em>",159.99,159.99,159.99,178.21,,1st Edition Holofoil,70,Stage 2,"[GG] Dark Drain
<br>Flip a coin for each of your opponent's Pokémon. For each heads, this attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.",,P,F-30,,
84576,Dark Crobat,Dark Crobat,https://tcgplayer-cdn.tcgplayer.com/product/84576_200w.jpg,3,1444,https://cpt.tcgcsv.com/xRH,2022-11-28T19:16:42.99,1,002/105,Holo Rare,Grass,"<strong>Pokémon Power: Surprise Bite</strong> When you play Dark Crobat from your hand, you may choose 1 of your opponent's Pokémon. This power does 20 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em>",79.98,99.99,188.8,118.2,,Unlimited Holofoil,70,Stage 2,"[GG] Dark Drain
<br>Flip a coin for each of your opponent's Pokémon. For each heads, this attack does 10 damage to that Pokémon. Don't apply Weakness and Resistance. Remove a number of damage counters from Dark Crobat equal to the damage dealt. If Dark Crobat has fewer damage counters than that, remove all of them.",,P,F-30,,
84578,Dark Croconaw,Dark Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84578_200w.jpg,3,1444,https://cpt.tcgcsv.com/BRH,2022-11-28T19:18:49.197,1,032/105,Uncommon,Water,,13.99,15.73,16.99,13.84,,1st Edition,60,Stage 1,"[WW] Clamping Jaw (20)
<br>The Defending Pokémon can't retreat during your opponent's next turn. If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing. <em>(Benching either Pokémon ends this effect.)</em>",,G,,2,
84578,Dark Croconaw,Dark Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84578_200w.jpg,3,1444,https://cpt.tcgcsv.com/BRH,2022-11-28T19:18:49.197,1,032/105,Uncommon,Water,,2.93,4.0,8.28,4.62,,Unlimited,60,Stage 1,"[WW] Clamping Jaw (20)
<br>The Defending Pokémon can't retreat during your opponent's next turn. If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing. <em>(Benching either Pokémon ends this effect.)</em>",,G,,2,
84579,Dark Donphan,Dark Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84579_200w.jpg,3,1444,https://cpt.tcgcsv.com/CRH,2022-11-28T19:20:09.737,1,003/105,Holo Rare,Fighting,,129.99,134.99,215.99,199.95,,1st Edition Holofoil,60,Stage 1,"[FF] Tusk Toss
<br>If your opponent has any Benched Pokémon, flip a coin. If heads, return the Defending Pokémon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokémon and switches it with the Defending Pokémon.",[1FF] Giant Tusk (50),G,L-30,3,
84579,Dark Donphan,Dark Donphan,https://tcgplayer-cdn.tcgplayer.com/product/84579_200w.jpg,3,1444,https://cpt.tcgcsv.com/CRH,2022-11-28T19:20:09.737,1,003/105,Holo Rare,Fighting,,60.48,60.9,70.0,57.62,,Unlimited Holofoil,60,Stage 1,"[FF] Tusk Toss
<br>If your opponent has any Benched Pokémon, flip a coin. If heads, return the Defending Pokémon and all cards attached to it to your opponent's hand. If tails, your opponent chooses 1 of his or her Benched Pokémon and switches it with the Defending Pokémon.",[1FF] Giant Tusk (50),G,L-30,3,
84592,Dark Espeon,Dark Espeon,https://tcgplayer-cdn.tcgplayer.com/product/84592_200w.jpg,3,1444,https://cpt.tcgcsv.com/SRH,2023-04-29T10:12:09.223,1,004/105,Holo Rare,Psychic,,271.98,335.95,491.23,293.98,425.0,Unlimited Holofoil,60,Stage 1,"[1] Gouge (10+)
<br>Flip a coin. If heads, this attack does 10 damage plus 10 more damage; if tails, this attack does 10 damage.","[2P] Psysplash
<br>Does 10 damage to each of your opponent's Pokémon for each Energy card attached to that Pokémon. Don't apply Weakness and Resistance.",P,,,
84593,Dark Exeggcutor,Dark Exeggcutor,https://tcgplayer-cdn.tcgplayer.com/product/84593_200w.jpg,3,1444,https://cpt.tcgcsv.com/TRH,2022-11-28T19:23:35.45,1,033/105,Uncommon,Psychic,,14.29,19.0,24.95,18.64,,1st Edition,60,Stage 1,"[1] Triple Headbutt (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.","[1P] MAX Burst (20x)
<br>Flip a number of coins equal to the number of Energy cards attached to your opponent's Pokémon. This attack does 20 damage times the number of heads.",P,,2,
84593,Dark Exeggcutor,Dark Exeggcutor,https://tcgplayer-cdn.tcgplayer.com/product/84593_200w.jpg,3,1444,https://cpt.tcgcsv.com/TRH,2022-11-28T19:23:35.45,1,033/105,Uncommon,Psychic,,3.09,4.26,9.0,3.91,,Unlimited,60,Stage 1,"[1] Triple Headbutt (10x)
<br>Flip 3 coins. This attack does 10 damage times the number of heads.","[1P] MAX Burst (20x)
<br>Flip a number of coins equal to the number of Energy cards attached to your opponent's Pokémon. This attack does 20 damage times the number of heads.",P,,2,
84594,Dark Feraligatr,Dark Feraligatr,https://tcgplayer-cdn.tcgplayer.com/product/84594_200w.jpg,3,1444,https://cpt.tcgcsv.com/VRH,2022-11-28T19:25:29.967,1,005/105,Holo Rare,Water,"<strong>Pokémon Power: Scare</strong> As long as Dark Feraligatr is your Active Pokémon, all of your opponent's Baby Pokémon Powers stop working and your opponent's Baby Pokémon can't attack. This power stops working while Dark Feraligatr is Asleep, Confused, or Paralyzed.",289.99,394.99,499.99,354.97,,1st Edition Holofoil,80,Stage 2,"[WWW] Crushing Blow (50)
<br>If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it.",,G,,3,
84594,Dark Feraligatr,Dark Feraligatr,https://tcgplayer-cdn.tcgplayer.com/product/84594_200w.jpg,3,1444,https://cpt.tcgcsv.com/VRH,2022-11-28T19:25:29.967,1,005/105,Holo Rare,Water,"<strong>Pokémon Power: Scare</strong> As long as Dark Feraligatr is your Active Pokémon, all of your opponent's Baby Pokémon Powers stop working and your opponent's Baby Pokémon can't attack. This power stops working while Dark Feraligatr is Asleep, Confused, or Paralyzed.",104.0,112.95,178.25,149.65,,Unlimited Holofoil,80,Stage 2,"[WWW] Crushing Blow (50)
<br>If the Defending Pokémon has any Energy cards attached to it, flip a coin. If heads, choose 1 of those cards and discard it.",,G,,3,
84595,Dark Flaaffy,Dark Flaaffy,https://tcgplayer-cdn.tcgplayer.com/product/84595_200w.jpg,3,1444,https://cpt.tcgcsv.com/WRH,2023-05-26T11:06:04.153,1,034/105,Uncommon,Lightning,,7.0,8.78,14.99,12.66,,1st Edition,60,Stage 1,"[L] High Voltage (10)
<br>Flip a coin. If heads, your opponent can't play Trainer cards during his or her next turn.","[1L] Stun Wave (30)
<br>If the Defending Pokémon has a Pokémon Power, that power stops working until the end of your next turn.",F,,1,
84595,Dark Flaaffy,Dark Flaaffy,https://tcgplayer-cdn.tcgplayer.com/product/84595_200w.jpg,3,1444,https://cpt.tcgcsv.com/WRH,2023-05-26T11:06:04.153,1,034/105,Uncommon,Lightning,,2.0,3.3,6.99,3.5,,Unlimited,60,Stage 1,"[L] High Voltage (10)
<br>Flip a coin. If heads, your opponent can't play Trainer cards during his or her next turn.","[1L] Stun Wave (30)
<br>If the Defending Pokémon has a Pokémon Power, that power stops working until the end of your next turn.",F,,1,
84598,Dark Forretress,Dark Forretress,https://tcgplayer-cdn.tcgplayer.com/product/84598_200w.jpg,3,1444,https://cpt.tcgcsv.com/-RH,2025-11-25T22:23:24.09,1,035/105,Uncommon,Grass,,4.52,4.92,9.99,5.37,,1st Edition,60,Stage 1,"[1] Armor Up
<br>
Until the end of your next turn, if Dark Forretress would be Knocked Out by damage from an attack, flip a coin. If heads, Dark Forretress is not Knocked Out and its remaining HIP become 10 instead.","[GG] Explosion (60)
<br>Dark Forretress does 60 damage to itself.",R,,2,
84598,Dark Forretress,Dark Forretress,https://tcgplayer-cdn.tcgplayer.com/product/84598_200w.jpg,3,1444,https://cpt.tcgcsv.com/-RH,2025-11-25T22:23:24.09,1,035/105,Uncommon,Grass,,1.95,2.86,96.94,2.71,3.35,Unlimited,60,Stage 1,"[1] Armor Up
<br>
Until the end of your next turn, if Dark Forretress would be Knocked Out by damage from an attack, flip a coin. If heads, Dark Forretress is not Knocked Out and its remaining HIP become 10 instead.","[GG] Explosion (60)
<br>Dark Forretress does 60 damage to itself.",R,,2,
84599,Dark Gengar,Dark Gengar,https://tcgplayer-cdn.tcgplayer.com/product/84599_200w.jpg,3,1444,https://cpt.tcgcsv.com/_RH,2022-11-28T19:31:15.423,1,006/105,Holo Rare,Psychic,"<strong>Pokémon Power: Deep Sleep</strong> As long as any Dark Gengar are in play, a player flips 2 coins for each of his or her Pokémon that is Asleep at the end of each turn. If either of them is tails, that Pokémon is still Asleep. This power stops working while Dark Gengar is Asleep, Confused, or Paralyzed.",335.0,500.0,1099.99,582.68,,Unlimited Holofoil,70,Stage 2,"[PPP] Pull In (30)
<br>
If your opponent has any Benched Pokémon, you may choose 1 of them and switch it with the Defending Pokémon (before doing damage or other effects of this attack). Either way, the Defending Pokémon is now Asleep.",,,F-30,2,
84609,Dark Haunter,Dark Haunter,https://tcgplayer-cdn.tcgplayer.com/product/84609_200w.jpg,3,1444,https://cpt.tcgcsv.com/cSH,2026-02-17T21:21:02.07,1,036/105,Uncommon,Psychic,,69.99,75.0,83.22,50.84,,1st Edition,50,Stage 1,"[P] Call Back
<br>
Put a Baby Pokémon or Basic Pokémon card from your opponent's discard pile onto his or her Bench. Put 1 damage counter on that Pokémon. <em>(You can't use this attack if your Bench is full.)</em>","[PP] Surround (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep. If tails, the Defending Pokémon can't retreat during your opponent's next turn.",,F-30,,
84609,Dark Haunter,Dark Haunter,https://tcgplayer-cdn.tcgplayer.com/product/84609_200w.jpg,3,1444,https://cpt.tcgcsv.com/cSH,2026-02-17T21:21:02.07,1,036/105,Uncommon,Psychic,,5.89,13.98,49.0,8.31,,Unlimited,50,Stage 1,"[P] Call Back
<br>
Put a Baby Pokémon or Basic Pokémon card from your opponent's discard pile onto his or her Bench. Put 1 damage counter on that Pokémon. <em>(You can't use this attack if your Bench is full.)</em>","[PP] Surround (20)
<br>Flip a coin. If heads, the Defending Pokémon is now Asleep. If tails, the Defending Pokémon can't retreat during your opponent's next turn.",,F-30,,
84610,Dark Houndoom,Dark Houndoom,https://tcgplayer-cdn.tcgplayer.com/product/84610_200w.jpg,3,1444,https://cpt.tcgcsv.com/dSH,2022-11-28T19:35:12.677,1,007/105,Holo Rare,Fire,,69.99,120.0,9999.0,145.67,,Unlimited Holofoil,60,Stage 1,"[1] Eerie Howl
<br>If your opponent's Bench isn't full, look at his or her hand. If your opponent has any Baby Pokémon or Basic Pokémon there, choose 1 of them and put it on his or her Bench. Then, switch it with the Defending Pokémon.","[1R] Dark Fire (30+)
<br>If there are any Darkness Energy cards attached to Dark Houndoom, discard 1 of them and this attack does 30 damage plus 20 more damage (plus 10 more for the Darkness Energy you discarded). If there aren't any, this attack does 30 damage.",W,,1,
84622,Dark Magcargo,Dark Magcargo,https://tcgplayer-cdn.tcgplayer.com/product/84622_200w.jpg,3,1444,https://cpt.tcgcsv.com/sSH,2023-03-20T11:26:04.313,1,018/105,Rare,Fire,"<strong>Pokémon Power: Hot Plate</strong> As long as Dark Magcargo is your Active Pokémon, whenever a player puts a Baby Pokémon or a Basic Pokémon onto his or her Bench from his or her hand, this power does 10 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power stops working while Dark Magcargo is Asleep, Confused, or Paralyzed.",7.98,8.0,9.49,18.11,,1st Edition,60,Stage 1,"[RR] Ball of Flame (20)
<br>You may discard a Fire Energy card attached to Dark Magcargo when you use this attack. If you do and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,,3,
84622,Dark Magcargo,Dark Magcargo,https://tcgplayer-cdn.tcgplayer.com/product/84622_200w.jpg,3,1444,https://cpt.tcgcsv.com/sSH,2023-03-20T11:26:04.313,1,018/105,Rare,Fire,"<strong>Pokémon Power: Hot Plate</strong> As long as Dark Magcargo is your Active Pokémon, whenever a player puts a Baby Pokémon or a Basic Pokémon onto his or her Bench from his or her hand, this power does 10 damage to that Pokémon. <em>(Don't apply Weakness and Resistance.)</em> This power stops working while Dark Magcargo is Asleep, Confused, or Paralyzed.",1.91,3.0,96.95,3.28,3.22,Unlimited,60,Stage 1,"[RR] Ball of Flame (20)
<br>You may discard a Fire Energy card attached to Dark Magcargo when you use this attack. If you do and if your opponent has any Benched Pokémon, choose 1 of them and this attack does 20 damage to it. <em>(Don't apply Weakness and Resistance for Benched Pokémon.)</em>",,W,,3,
84632,Dark Octillery,Dark Octillery,https://tcgplayer-cdn.tcgplayer.com/product/84632_200w.jpg,3,1444,https://cpt.tcgcsv.com/GSH,2022-11-28T19:50:14.037,1,062/105,Common,Water,,1.47,2.24,4.99,2.43,,1st Edition,60,Stage 1,"[W] Ink Blast (20+)
<br>This attack does 20 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.","[1W] Tentacle Wrap (20)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, during your opponent's next turn, your opponent pays 1 Colorless more to retreat the Defending Pokémon.",L,,2,
84632,Dark Octillery,Dark Octillery,https://tcgplayer-cdn.tcgplayer.com/product/84632_200w.jpg,3,1444,https://cpt.tcgcsv.com/GSH,2022-11-28T19:50:14.037,1,062/105,Common,Water,,0.55,1.05,5.0,1.17,,Unlimited,60,Stage 1,"[W] Ink Blast (20+)
<br>This attack does 20 damage plus 10 more damage for each Energy attached to Dark Octillery but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.","[1W] Tentacle Wrap (20)
<br>
Flip a coin. If heads, the Defending Pokémon is now Paralyzed. If tails, during your opponent's next turn, your opponent pays 1 Colorless more to retreat the Defending Pokémon.",L,,2,
84634,Dark Omanyte,Dark Omanyte,https://tcgplayer-cdn.tcgplayer.com/product/84634_200w.jpg,3,1444,https://cpt.tcgcsv.com/JSH,2026-02-17T21:17:36.243,1,037/105,Uncommon,Water,,6.0,6.97,14.99,8.84,,1st Edition,40,Stage 1,"[W] Water Cannon
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage for each Water Energy card attached to Dark Omanyte. Don't apply Weakness and resistance. You can't do more than 30 damage in this way.",,G,,1,
84634,Dark Omanyte,Dark Omanyte,https://tcgplayer-cdn.tcgplayer.com/product/84634_200w.jpg,3,1444,https://cpt.tcgcsv.com/JSH,2026-02-17T21:17:36.243,1,037/105,Uncommon,Water,,2.74,3.91,6.09,3.76,,Unlimited,40,Stage 1,"[W] Water Cannon
<br>Choose 1 of your opponent's Pokémon. This attack does 10 damage for each Water Energy card attached to Dark Omanyte. Don't apply Weakness and resistance. You can't do more than 30 damage in this way.",,G,,1,
84635,Dark Omastar,Dark Omastar,https://tcgplayer-cdn.tcgplayer.com/product/84635_200w.jpg,3,1444,https://cpt.tcgcsv.com/KSH,2024-01-04T18:53:46.06,1,019/105,Rare,Water,,19.99,36.6,37.91,31.88,,1st Edition,70,Stage 2,"[W] Prehistoric Water
<br>If your opponent has any evolved Pokémon in play, choose 1 of them and flip a coin. If heads, your opponent takes the highest Stage Evolution card on that Pokémon and shuffles it into his or her deck.","[1W] Dark Tentacle (30)
<br>
During your opponent's next turn, the Defending Pokémon can't evolve except from effects of attacks or Pokémon Powers. <em>(Benching that Pokémon ends this effect.)</em>",G,,2,
84635,Dark Omastar,Dark Omastar,https://tcgplayer-cdn.tcgplayer.com/product/84635_200w.jpg,3,1444,https://cpt.tcgcsv.com/KSH,2024-01-04T18:53:46.06,1,019/105,Rare,Water,,14.99,20.0,30.0,17.45,,Unlimited,70,Stage 2,"[W] Prehistoric Water
<br>If your opponent has any evolved Pokémon in play, choose 1 of them and flip a coin. If heads, your opponent takes the highest Stage Evolution card on that Pokémon and shuffles it into his or her deck.","[1W] Dark Tentacle (30)
<br>
During your opponent's next turn, the Defending Pokémon can't evolve except from effects of attacks or Pokémon Powers. <em>(Benching that Pokémon ends this effect.)</em>",G,,2,
84640,Dark Porygon2,Dark Porygon2,https://tcgplayer-cdn.tcgplayer.com/product/84640_200w.jpg,3,1444,https://cpt.tcgcsv.com/QSH,2022-11-28T19:58:42.023,1,008/105,Holo Rare,Colorless,"<strong>Pokémon Power: Spatial Distortion</strong> Once during your turn <em>(before your attack)</em>, you may flip a coin. If heads, choose a Stadium card from your discard pile and put it into play. (If there's already a Stadium card in play, discard it.) This power can't be used if Dark Porygon2 is Asleep, Confused, or Paralyzed.",55.0,90.0,149.99,79.39,97.9,Unlimited Holofoil,60,Stage 1,"[3] Curve Attack (20)
<br>Flip a coin. If heads, prevent all damage done by attacks to Dark Porygon2 during your opponent's next turn. <em>(Any other effects of attacks still happen.)</em>",,F,P-30,1,
84642,Dark Pupitar,Dark Pupitar,https://tcgplayer-cdn.tcgplayer.com/product/84642_200w.jpg,3,1444,https://cpt.tcgcsv.com/SSH,2022-11-28T20:00:42.44,1,038/105,Uncommon,Fighting,,8.01,10.3,19.99,11.88,,1st Edition,60,Stage 1,"[FF] Rock Tackle (40)
<br>Dark Pupitar does 10 damage to itself. Dark Pupitar can't use this attack during your next turn.","[3] Explosive Evolution
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance. Then, search your deck for an Evolution card named Dark Tyranitar and put it on Dark Pupitar. <em>(This counts as evolving Dark Pupitar.)</em> Shuffle your deck afterward.",G,L-30,1,
84642,Dark Pupitar,Dark Pupitar,https://tcgplayer-cdn.tcgplayer.com/product/84642_200w.jpg,3,1444,https://cpt.tcgcsv.com/SSH,2022-11-28T20:00:42.44,1,038/105,Uncommon,Fighting,,1.99,3.0,5.49,3.27,3.76,Unlimited,60,Stage 1,"[FF] Rock Tackle (40)
<br>Dark Pupitar does 10 damage to itself. Dark Pupitar can't use this attack during your next turn.","[3] Explosive Evolution
<br>Flip a coin. If heads, this attack does 10 damage to each of your opponent's Pokémon. Don't apply Weakness and Resistance. Then, search your deck for an Evolution card named Dark Tyranitar and put it on Dark Pupitar. <em>(This counts as evolving Dark Pupitar.)</em> Shuffle your deck afterward.",G,L-30,1,
84645,Dark Quilava,Dark Quilava,https://tcgplayer-cdn.tcgplayer.com/product/84645_200w.jpg,3,1444,https://cpt.tcgcsv.com/WSH,2022-12-05T12:02:16.26,1,039/105,Uncommon,Fire,,10.0,14.98,19.99,15.59,,1st Edition,60,Stage 1,"[R] Incinerate
<br>
Show the top card of your opponent's deck to all players. If it's a Trainer card, discard it.","[RR] Rushing Magma (20x)
<br>
Discard the top 5 cards of your deck. <em>(If there are fewer than 5 cards in your deck, discard all of them.)</em> This attack does 20 damage for each Fire Energy card you discarded in this way.",W,,1,
84645,Dark Quilava,Dark Quilava,https://tcgplayer-cdn.tcgplayer.com/product/84645_200w.jpg,3,1444,https://cpt.tcgcsv.com/WSH,2022-12-05T12:02:16.26,1,039/105,Uncommon,Fire,,1.0,2.09,3.91,3.09,,Unlimited,60,Stage 1,"[R] Incinerate
<br>
Show the top card of your opponent's deck to all players. If it's a Trainer card, discard it.","[RR] Rushing Magma (20x)
<br>
Discard the top 5 cards of your deck. <em>(If there are fewer than 5 cards in your deck, discard all of them.)</em> This attack does 20 damage for each Fire Energy card you discarded in this way.",W,,1,
84652,Dark Scizor,Dark Scizor,https://tcgplayer-cdn.tcgplayer.com/product/84652_200w.jpg,3,1444,https://cpt.tcgcsv.com/3TH,2026-02-16T19:55:13.697,1,009/105,Holo Rare,Metal,,300.99,585.33,596.68,595.34,,1st Edition Holofoil,70,Stage 1,"[2] Threaten
<br>Flip a coin. If heads, look at your opponent's hand. If there are any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.",[3] Slash (30),R,G-30,2,
84652,Dark Scizor,Dark Scizor,https://tcgplayer-cdn.tcgplayer.com/product/84652_200w.jpg,3,1444,https://cpt.tcgcsv.com/3TH,2026-02-16T19:55:13.697,1,009/105,Holo Rare,Metal,,100.0,173.75,235.99,148.75,173.74,Unlimited Holofoil,70,Stage 1,"[2] Threaten
<br>Flip a coin. If heads, look at your opponent's hand. If there are any Trainer cards there, choose 1 of them. Your opponent shuffles that card into his or her deck.",[3] Slash (30),R,G-30,2,
