productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2
97975,Fairy Energy (#10),Fairy Energy 10,https://tcgplayer-cdn.tcgplayer.com/product/97975_200w.jpg,3,1532,https://cpt.tcgcsv.com/wcP,2022-12-19T17:24:07.197,1,,10/30,Common,Basic Energy,,,,,,,0.49,1.79,50.0,0.49,,Normal,
97976,Snubbull (#11),Snubbull 11,https://tcgplayer-cdn.tcgplayer.com/product/97976_200w.jpg,3,1532,https://cpt.tcgcsv.com/xcP,2022-12-19T17:25:09.003,1,,11/30,Common,Fairy,70,Basic,[1Y] Headbutt (20),Mx2,D-20,2,0.31,0.47,0.99,0.55,,Normal,
97977,Fairy Energy (#12),Fairy Energy 12,https://tcgplayer-cdn.tcgplayer.com/product/97977_200w.jpg,3,1532,https://cpt.tcgcsv.com/zcP,2022-12-19T17:25:18.19,1,,12/30,Common,Basic Energy,,,,,,,0.1,0.5,0.52,0.2,,Normal,
97978,Eevee (13),Eevee 13,https://tcgplayer-cdn.tcgplayer.com/product/97978_200w.jpg,3,1532,https://cpt.tcgcsv.com/BcP,2022-12-19T17:25:44.18,1,,13/30,Common,Colorless,60,Basic,"[1] Surprise Attack (20)
<br>Flip a coin. If tails, this attack does nothing.",Fx2,None,1,5.47,5.5,6.54,6.16,,Normal,
97979,Granbull (#14),Granbull 14,https://tcgplayer-cdn.tcgplayer.com/product/97979_200w.jpg,3,1532,https://cpt.tcgcsv.com/CcP,2022-12-19T17:26:07.293,1,,14/30,Common,Fairy,100,Stage 1,[1Y] Headbutt (30),Mx2,D-20,3,0.3,0.43,1.03,0.59,,Normal,"[2Y] Double Stomp (50+)
<br>Flip 2 coins. This attack does 20 more damage for each heads."
97980,Sylveon (#15 - Non-Holo),Sylveon 15 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/97980_200w.jpg,3,1532,https://cpt.tcgcsv.com/DcP,2022-12-19T17:26:31.57,1,,15/30,Common,Fairy,90,Stage 1,"[Y] Disarming Voice (20)
<br>Your opponent's Active Pokemon is now Confused.",Mx2,D-20,1,8.2,10.85,13.5,10.11,,Normal,[2Y] Fairy Wind (60)
97981,Furfrou (#16 - Sylveon),Furfrou 16 Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97981_200w.jpg,3,1532,https://cpt.tcgcsv.com/FcP,2022-12-19T17:26:43.41,1,,16/30,Common,Colorless,90,Basic,"[2] Tight Jaw (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Fx2,None,1,0.19,0.3,4.0,0.3,,Normal,[3] Sharp Fang (50)
97982,Fairy Energy (#17),Fairy Energy 17,https://tcgplayer-cdn.tcgplayer.com/product/97982_200w.jpg,3,1532,https://cpt.tcgcsv.com/GcP,2022-12-19T17:26:49.687,1,,17/30,Common,Basic Energy,,,,,,,0.15,0.33,0.5,0.23,,Normal,
97983,Fairy Energy (#18),Fairy Energy 18,https://tcgplayer-cdn.tcgplayer.com/product/97983_200w.jpg,3,1532,https://cpt.tcgcsv.com/HcP,2022-12-19T17:26:57.003,1,,18/30,Common,Basic Energy,,,,,,,2.22,2.3,3.84,2.63,,Normal,
97984,Fletchling (#19),Fletchling 19,https://tcgplayer-cdn.tcgplayer.com/product/97984_200w.jpg,3,1532,https://cpt.tcgcsv.com/JcP,2022-12-19T17:27:16.54,1,,19/30,Common,Colorless,50,Basic,"[1] Razor Wind (20)
<br>Flip a coin. If tails, this attack does nothing.",Lx2,F-20,1,0.17,0.42,0.99,0.4,,Normal,
97985,Potion (#20 - Sylveon),Potion 20 Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97985_200w.jpg,3,1532,https://cpt.tcgcsv.com/KcP,2022-12-19T17:27:28.643,1,,20/30,Common,Item,,,,,,,0.1,0.25,0.49,0.25,,Normal,
97986,Eevee (21),Eevee 21,https://tcgplayer-cdn.tcgplayer.com/product/97986_200w.jpg,3,1532,https://cpt.tcgcsv.com/LcP,2022-12-19T17:28:43.06,1,,21/30,Common,Colorless,60,Basic,"[1] Surprise Attack (20)
<br>Flip a coin. If tails, this attack does nothing.",Fx2,None,1,3.99,4.66,14.0,5.67,,Normal,
97987,Furfrou (#22 - Sylveon),Furfrou 22 Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97987_200w.jpg,3,1532,https://cpt.tcgcsv.com/McP,2022-12-19T17:28:57.533,1,,22/30,Common,Colorless,90,Basic,"[2] Tight Jaw (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Fx2,None,1,0.18,0.25,0.54,0.3,,Normal,[3] Sharp Fang (50)
97988,Pokemon Catcher (Sylveon),Pokemon Catcher Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97988_200w.jpg,3,1532,https://cpt.tcgcsv.com/NcP,2022-12-19T17:29:04.147,1,"Flip a coin. If heads, switch 1 of your opponent's Bench Pokemon with his or her Active Pokemon.",23/30,Common,Item,,,,,,,0.08,0.25,2.59,0.09,,Normal,
97989,Potion (#24 - Sylveon),Potion 24 Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97989_200w.jpg,3,1532,https://cpt.tcgcsv.com/PcP,2022-12-19T17:29:11.447,1,Heal 30 damage from 1 of your Pokemon.,24/30,Common,Item,,,,,,,0.05,0.25,1.75,0.3,,Normal,
97990,Fairy Energy (#25),Fairy Energy 25,https://tcgplayer-cdn.tcgplayer.com/product/97990_200w.jpg,3,1532,https://cpt.tcgcsv.com/QcP,2022-12-19T17:29:25.897,1,,25/30,Common,Basic Energy,,,,,,,0.8,1.18,1.56,1.24,,Normal,
97991,Poke Ball (Sylveon),Poke Ball Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97991_200w.jpg,3,1532,https://cpt.tcgcsv.com/RcP,2022-12-19T17:31:42.333,1,"Flip a coin. If heads, search your deck for a Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.",26/30,Common,Item,,,,,,,0.2,0.31,1.3,0.44,,Normal,
97992,Snubbull (#27),Snubbull 27,https://tcgplayer-cdn.tcgplayer.com/product/97992_200w.jpg,3,1532,https://cpt.tcgcsv.com/ScP,2022-12-19T17:31:56.413,1,,27/30,Common,Fairy,70,Basic,[1Y] Headbutt (20),Mx2,D-20,2,0.25,0.71,1.5,1.66,,Normal,
97993,Professor's Letter (Sylveon),Professors Letter Sylveon,https://tcgplayer-cdn.tcgplayer.com/product/97993_200w.jpg,3,1532,https://cpt.tcgcsv.com/TcP,2022-12-19T17:32:14.02,1,"Search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.",28/30,Common,Item,,,,,,,0.5,0.87,3.45,1.03,,Normal,
97994,Granbull (#29),Granbull 29,https://tcgplayer-cdn.tcgplayer.com/product/97994_200w.jpg,3,1532,https://cpt.tcgcsv.com/VcP,2022-12-19T17:32:20.703,1,,29/30,Common,Fairy,100,Stage 1,[1Y] Headbutt (30),Mx2,D-20,3,0.47,0.69,4.0,1.31,,Normal,"[2Y] Double Stomp (50+)
<br>Flip 2 coins. This attack does 20 more damage for each heads."
97995,Sylveon (#30 - Holo),Sylveon 30 Holo,https://tcgplayer-cdn.tcgplayer.com/product/97995_200w.jpg,3,1532,https://cpt.tcgcsv.com/WcP,2022-12-19T17:32:26.747,1,,30/30,Common,Fairy,90,Stage 1,"[Y] Disarming Voice (20)
<br>Your opponent's Active Pokemon is now Confused.",Mx2,D-20,1,5.55,13.47,20.36,19.39,,Holofoil,[2Y] Fairy Wind (60)
97996,Spoink,Spoink,https://tcgplayer-cdn.tcgplayer.com/product/97996_200w.jpg,3,1532,https://cpt.tcgcsv.com/XcP,2022-12-19T17:21:59.557,1,,1/30,Common,Psychic,60,Basic,[P] Splash (10),Px2,None,1,0.25,0.37,1.5,0.62,,Normal,
97997,Gourgeist,Gourgeist,https://tcgplayer-cdn.tcgplayer.com/product/97997_200w.jpg,3,1532,https://cpt.tcgcsv.com/ZcP,2024-08-20T18:24:52.023,1,,2/30,Common,Psychic,100,Stage 1,"[P] Eerie Voice 
<br>Put 2 damage counters on each of your opponent's Pokemon.",Dx2,F-20,2,0.9,1.3,4.4,1.29,,Normal,"[PP] Spirit Scream
<br>Put damage counters on both Active Pokemon until the remaining HP of each Pokemon is 10."
97998,Arbok,Arbok,https://tcgplayer-cdn.tcgplayer.com/product/97998_200w.jpg,3,1532,https://cpt.tcgcsv.com/-cP,2022-12-19T17:22:24.087,1,,3/30,Common,Psychic,90,Stage 1,"[1] Gastro Acid (20)
<br>The Defending Pokemon has no Abilities until the end of your next turn.",Px2,None,1,0.27,0.55,2.0,1.1,,Normal,"[2P] Poison Jab (50)
<br>Your opponent's Active Pokemon is now Poisoned."
97999,Bunnelby,Bunnelby,https://tcgplayer-cdn.tcgplayer.com/product/97999_200w.jpg,3,1532,https://cpt.tcgcsv.com/_cP,2022-12-19T17:22:38.16,1,,4/30,Common,Psychic,60,Basic,[2] Tackle (20),Fx2,None,1,0.25,0.56,1.57,0.38,,Normal,
98000,Psychic Energy (#5),Psychic Energy 5,https://tcgplayer-cdn.tcgplayer.com/product/98000_200w.jpg,3,1532,https://cpt.tcgcsv.com/0dP,2022-12-19T17:23:03.953,1,,5/30,Common,Basic Energy,,,,,,,0.2,0.35,0.93,0.35,,Normal,
98001,Psychic Energy (#6),Psychic Energy 6,https://tcgplayer-cdn.tcgplayer.com/product/98001_200w.jpg,3,1532,https://cpt.tcgcsv.com/2dP,2022-12-19T17:23:17.25,1,,6/30,Common,Basic Energy,,,,,,,0.25,0.5,1.49,0.25,,Normal,
98002,Psychic Energy (#7),Psychic Energy 7,https://tcgplayer-cdn.tcgplayer.com/product/98002_200w.jpg,3,1532,https://cpt.tcgcsv.com/3dP,2022-12-19T17:23:29.46,1,,7/30,Common,Basic Energy,,,,,,,0.09,0.4,56.0,0.4,,Normal,
98003,Psychic Energy (#8),Psychic Energy 8,https://tcgplayer-cdn.tcgplayer.com/product/98003_200w.jpg,3,1532,https://cpt.tcgcsv.com/5dP,2022-12-19T17:23:45.047,1,,8/30,Common,Basic Energy,,,,,,,0.15,0.3,1.56,0.25,,Normal,
98004,Psychic Energy (#9),Psychic Energy 9,https://tcgplayer-cdn.tcgplayer.com/product/98004_200w.jpg,3,1532,https://cpt.tcgcsv.com/6dP,2022-12-19T17:24:00.987,1,,9/30,Common,Basic Energy,,,,,,,0.2,0.25,0.72,0.25,,Normal,
98005,Psychic Energy (#10),Psychic Energy 10,https://tcgplayer-cdn.tcgplayer.com/product/98005_200w.jpg,3,1532,https://cpt.tcgcsv.com/7dP,2022-12-19T17:24:16.43,1,,10/30,Common,Basic Energy,,,,,,,0.2,0.5,0.97,0.25,,Normal,
98006,Pumpkaboo (#11),Pumpkaboo 11,https://tcgplayer-cdn.tcgplayer.com/product/98006_200w.jpg,3,1532,https://cpt.tcgcsv.com/8dP,2022-12-19T17:24:59.69,1,,11/30,Common,Psychic,60,Basic,"[P] Confuse Ray
<br>Your opponent's Active Pokemon is now Confused.",Mx2,F-20,2,0.25,0.4,0.74,0.4,,Normal,
98007,Noibat (#12),Noibat 12,https://tcgplayer-cdn.tcgplayer.com/product/98007_200w.jpg,3,1532,https://cpt.tcgcsv.com/9dP,2024-03-20T19:07:13.843,1,,12/30,Common,Colorless,60,Basic,"[P] Supersonic 
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Confused.",Lx2,F-20,1,0.6,0.92,2.05,1.35,,Normal,[3] Wing Attack (30)
98008,Noivern (#13 - Non-Holo),Noivern 13 Non Holo,https://tcgplayer-cdn.tcgplayer.com/product/98008_200w.jpg,3,1532,https://cpt.tcgcsv.com/bdP,2022-12-19T17:25:52.723,1,,13/30,Common,Dragon,110,Stage 1,"[2] Second Bite (20+)
<br>This attack does 10 more damage for each damage counter on your opponent's Active Pokemon.",Yx2,None,1,0.47,0.99,1.5,1.34,,Normal,"[1PD] Sonic Bazooka (60+)
<br>Flip a coin. If heads, this attack does 30 more damage and your opponent's Active Pokemon is now Confused."
98009,Pokemon Catcher (Noivern),Pokemon Catcher Noivern,https://tcgplayer-cdn.tcgplayer.com/product/98009_200w.jpg,3,1532,https://cpt.tcgcsv.com/cdP,2022-12-19T17:26:17.777,1,"Flip a coin. If heads, switch 1 of your opponent's Bench Pokemon with his or her Active Pokemon.",14/30,Common,Item,,,,,,,0.11,0.25,0.99,0.22,,Normal,
98010,Potion (#15 - Noivern),Potion 15 Noivern,https://tcgplayer-cdn.tcgplayer.com/product/98010_200w.jpg,3,1532,https://cpt.tcgcsv.com/ddP,2022-12-19T17:26:25.033,1,,15/30,Common,Item,,,,,,,0.1,0.21,1.0,0.23,,Normal,
98011,Ekans,Ekans,https://tcgplayer-cdn.tcgplayer.com/product/98011_200w.jpg,3,1532,https://cpt.tcgcsv.com/fdP,2022-12-19T17:26:37.887,1,,16/30,Common,Psychic,70,Basic,[2] Bite (20),Px2,None,2,0.33,0.4,1.76,0.4,,Normal,
98012,Psychic Energy (#17),Psychic Energy 17,https://tcgplayer-cdn.tcgplayer.com/product/98012_200w.jpg,3,1532,https://cpt.tcgcsv.com/gdP,2022-12-19T17:21:01.843,1,,17/30,Common,Basic Energy,,,,,,,0.25,0.35,1.0,0.4,,Normal,
98013,Pumpkaboo (#18),Pumpkaboo 18,https://tcgplayer-cdn.tcgplayer.com/product/98013_200w.jpg,3,1532,https://cpt.tcgcsv.com/hdP,2022-12-19T17:27:04.397,1,,18/30,Common,Psychic,60,Basic,"[P] Confuse Ray
<br>Your opponent's Active Pokemon is now Confused.",Mx2,F-20,2,0.2,0.44,2.09,0.4,,Normal,
98014,Darkness Energy (#19),Darkness Energy 19,https://tcgplayer-cdn.tcgplayer.com/product/98014_200w.jpg,3,1532,https://cpt.tcgcsv.com/jdP,2022-12-19T17:27:10.813,1,,19/30,Common,Basic Energy,,,,,,,0.15,0.36,1.0,0.2,,Normal,
98015,Darkness Energy (#22),Darkness Energy 22,https://tcgplayer-cdn.tcgplayer.com/product/98015_200w.jpg,3,1532,https://cpt.tcgcsv.com/kdP,2022-12-19T17:28:49.88,1,,22/30,Common,Basic Energy,,,,,,,0.15,0.25,18.82,0.18,,Normal,
98016,Darkness Energy (#26),Darkness Energy 26,https://tcgplayer-cdn.tcgplayer.com/product/98016_200w.jpg,3,1532,https://cpt.tcgcsv.com/ldP,2022-12-19T17:31:29.803,1,,26/30,Common,Basic Energy,,,,,,,0.15,0.39,1.0,0.31,,Normal,
98017,Darkness Energy (#28),Darkness Energy 28,https://tcgplayer-cdn.tcgplayer.com/product/98017_200w.jpg,3,1532,https://cpt.tcgcsv.com/mdP,2022-12-19T17:32:06.057,1,,28/30,Common,Basic Energy,,,,,,,0.15,0.4,60.0,0.31,,Normal,
98018,Furfrou (#20 - Noivern),Furfrou 20 Noivern,https://tcgplayer-cdn.tcgplayer.com/product/98018_200w.jpg,3,1532,https://cpt.tcgcsv.com/ndP,2022-12-19T17:27:22.07,1,,20/30,Common,Colorless,90,Basic,"[2] Tight Jaw (20)
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Paralyzed.",Fx2,None,1,1.0,1.71,2.47,2.08,,Normal,[3] Sharp Fang (50)
98019,Poke Ball (Noivern),Poke Ball Noivern,https://tcgplayer-cdn.tcgplayer.com/product/98019_200w.jpg,3,1532,https://cpt.tcgcsv.com/pdP,2023-12-27T13:37:03.807,1,"Flip a coin. If heads, search your deck for a Pokemon, reveal it, and put it into your hand. Shuffle your deck afterward.",21/30,Common,Item,,,,,,,0.18,0.31,2.45,0.37,,Normal,
98020,Noibat (#23),Noibat 23,https://tcgplayer-cdn.tcgplayer.com/product/98020_200w.jpg,3,1532,https://cpt.tcgcsv.com/qdP,2024-03-20T19:07:45.07,1,,12/30,Common,Colorless,60,Basic,"[P] Supersonic 
<br>Flip a coin. If heads, your opponent's Active Pokemon is now Confused.",Lx2,F-20,1,0.89,1.03,5.14,4.97,,Normal,[3] Wing Attack (30)
98021,Professor's Letter (Noivern),Professors Letter Noivern,https://tcgplayer-cdn.tcgplayer.com/product/98021_200w.jpg,3,1532,https://cpt.tcgcsv.com/rdP,2024-08-20T18:24:52.08,1,"Search your deck for up to 2 basic Energy cards, reveal them, and put them into your hand. Shuffle your deck afterward.",24/30,Common,Item,,,,,,,0.25,0.71,1.69,0.82,,Normal,
98022,Psychic Energy (#25),Psychic Energy 25,https://tcgplayer-cdn.tcgplayer.com/product/98022_200w.jpg,3,1532,https://cpt.tcgcsv.com/sdP,2022-12-19T17:31:20.217,1,,25/30,Common,Basic Energy,,,,,,,0.4,0.5,0.75,0.4,,Normal,
98023,Potion (#27 - Noivern),Potion 27 Noivern,https://tcgplayer-cdn.tcgplayer.com/product/98023_200w.jpg,3,1532,https://cpt.tcgcsv.com/tdP,2022-12-19T17:31:49.487,1,,27/30,Common,Item,,,,,,,0.05,0.24,1.0,0.14,,Normal,
98024,Switch (Noivern),Switch Noivern,https://tcgplayer-cdn.tcgplayer.com/product/98024_200w.jpg,3,1532,https://cpt.tcgcsv.com/vdP,2022-12-19T17:22:45.9,1,Switch your Active Pokemon with 1 of your Benched Pokemon.,4/30,Common,Item,,,,,,,0.15,0.28,1.55,0.29,,Normal,
98025,Noivern (#30 - Holo),Noivern 30 Holo,https://tcgplayer-cdn.tcgplayer.com/product/98025_200w.jpg,3,1532,https://cpt.tcgcsv.com/wdP,2023-05-08T12:43:20.773,1,,30/30,Common,Dragon,110,Stage 1,"[2] Second Bite (20+)
<br>This attack does 10 more damage for each damage counter on your opponent's Active Pokemon.",Yx2,None,1,0.3,0.75,2.79,1.0,,Holofoil,"[1PD] Sonic Bazooka (60+)
<br>Flip a coin. If heads, this attack does 30 more damage and your opponent's Active Pokemon is now Confused."
283261,Code Card - XY Trainer Kit: Sylveon & Noivern,Code Card XY Trainer Kit Sylveon and Noivern,https://tcgplayer-cdn.tcgplayer.com/product/283261_200w.jpg,3,1532,https://cpt.tcgcsv.com/fkh3,2023-03-31T16:32:07.99,1,"This listing is <strong>not</strong> a physical item. Please keep in mind that this <strong>Code Card</strong> listing represents a digital copy of the stated item for the Pokémon TCG Online <strong>and/or</strong> the Pokémon TCG Live games. You may receive the physical <strong>Code Card</strong>. Upon purchase, please work with your specific Seller by sending them a message using the <strong>Contact Seller</strong> button on the order details in your <a href=https://store.tcgplayer.com/myaccount/orderhistory>Order History</a> to opt in to having your <strong>Code Card</strong> code delivered digitally due to the nature of the product.",,Code Card,,,,,,,,,,,,,,
