productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extHP,extStage,extAttack1,extWeakness,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2,extResistance
87413,Mew EX (Full Art),Mew EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/87413_200w.jpg,3,1465,https://cpt.tcgcsv.com/h-J,2026-01-15T13:19:44.65,1,RC24/RC25,Ultra Rare,120,Basic,[P] Replace - Move as many Energy attached to your Pokemon to your other Pokemon in any way you like.,Px2,1,101.14,170.99,329.91,181.96,127.95,Holofoil,Versatile - This Pokemon can use the attacks of any Pokemon in play (both yours and your opponent's).  (You still need the necessary Energy to use each attack.)  (Ability),,
87479,Minccino,Minccino,https://tcgplayer-cdn.tcgplayer.com/product/87479_200w.jpg,3,1465,https://cpt.tcgcsv.com/C_J,2023-08-26T16:03:12.76,1,RC18/RC25,Common,60,Basic,[1] Tail Slap (10x) Flip 2 coins.  This attack does 10 damage times the number of heads.,Fx2,1,4.79,7.12,15.0,6.91,7.45,Holofoil,,,
88105,Pikachu,Pikachu,https://tcgplayer-cdn.tcgplayer.com/product/88105_200w.jpg,3,1465,https://cpt.tcgcsv.com/7gK,2026-02-17T17:02:07.18,1,RC7/RC25,Uncommon,60,Basic,"[L] Thundershock (10) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",Fx2,1,31.28,65.0,99.99,50.97,26.95,Holofoil,,[2] Tail Whap (20),
88154,Piplup,Piplup,https://tcgplayer-cdn.tcgplayer.com/product/88154_200w.jpg,3,1465,https://cpt.tcgcsv.com/6hK,2026-02-16T15:33:19.36,1,RC6/RC25,Uncommon,60,Basic,"[1] Charm - During your opponent's next turn, any damage done by attacks from the Defending Pokemon is reduced by 20 (before applying Weakness and Resistance).",Lx2,1,4.5,9.95,30.0,8.73,9.79,Holofoil,,[1W] Peck (20),
88462,Purrloin,Purrloin,https://tcgplayer-cdn.tcgplayer.com/product/88462_200w.jpg,3,1465,https://cpt.tcgcsv.com/gpK,2026-02-17T17:02:12.453,1,RC13/RC25,Uncommon,50,Basic,"[D] Captivate - Flip a coin.  If heads, switch 1 of your opponent's Benched Pokemon with the Defending Pokemon.",Fx2,1,2.99,5.56,96.95,5.44,3.99,Holofoil,,,P-20
88567,Ralts,Ralts,https://tcgplayer-cdn.tcgplayer.com/product/88567_200w.jpg,3,1465,https://cpt.tcgcsv.com/mrK,2026-02-17T23:18:47.747,1,RC8/RC25,Common,40,Basic,[P] Hypnotic Gaze - The Defending Pokemon is now Asleep.,Px2,1,4.37,7.35,96.95,7.42,4.99,Holofoil,,[1P] Pound (20),
88712,Reshiram (Full Art),Reshiram Full Art,https://tcgplayer-cdn.tcgplayer.com/product/88712_200w.jpg,3,1465,https://cpt.tcgcsv.com/gvK,2025-11-11T14:40:49.693,1,RC22/RC25,Ultra Rare,130,Basic,[2] Outrage (20+) Does 10 more damage for each damage counter on this Pokemon.,Wx2,2,81.89,124.98,500.0,111.05,71.49,Holofoil,,[1RR] Blue Flare (120) Discard 2 R Energy attached to this Pokemon.,
89075,Serperior,Serperior,https://tcgplayer-cdn.tcgplayer.com/product/89075_200w.jpg,3,1465,https://cpt.tcgcsv.com/wFK,2026-02-02T18:44:06.503,1,RC3/RC25,Uncommon,140,Stage 2,[2G] Solar Beam (80),Rx2,2,1.32,3.63,12.0,4.08,1.47,Holofoil,"Royal Garden - If this Pokemon has any G Energy attached to it, this Pokemon has no Retreat Cost.  (Ability)",,
89080,Servine,Servine,https://tcgplayer-cdn.tcgplayer.com/product/89080_200w.jpg,3,1465,https://cpt.tcgcsv.com/DFK,2026-02-02T18:44:57.483,1,RC2/RC25,Common,80,Stage 1,"[1] Leaf Blade (10+) Flip a coin.  If heads, this attack does 30 more damage.",Rx2,1,0.56,1.75,7.95,1.9,2.22,Holofoil,,[2G] Vine Whip (40),
89113,Shaymin EX (Full Art),Shaymin EX Full Art,https://tcgplayer-cdn.tcgplayer.com/product/89113_200w.jpg,3,1465,https://cpt.tcgcsv.com/hGK,2025-11-11T14:43:29.54,1,RC21/RC25,Ultra Rare,110,Basic,[G] Synthesis - Search your deck for a G Energy card and attach it to 1 of your Pokemon.  Shuffle your deck afterward.,Rx2,1,22.39,37.35,125.99,34.67,37.34,Holofoil,,[1G] Revenge Blast (30+) Does 30 more damage for each Prize card your opponent has taken.,F-20
89382,Snivy,Snivy,https://tcgplayer-cdn.tcgplayer.com/product/89382_200w.jpg,3,1465,https://cpt.tcgcsv.com/GMK,2026-02-17T17:02:54.673,1,RC1/RC25,Common,50,Basic,[1] Growth - Attach a G Energy card from your hand to this Pokemon.,Rx2,1,0.98,2.3,9.99,2.47,1.8,Holofoil,,[2G] Razor Leaf (30),
89583,Stunfisk,Stunfisk,https://tcgplayer-cdn.tcgplayer.com/product/89583_200w.jpg,3,1465,https://cpt.tcgcsv.com/HRK,2026-02-02T18:45:54.257,1,RC12/RC25,Uncommon,90,Basic,"[F] Attract - If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin.  If tails, that attack does nothing.",Wx2,3,1.41,3.31,7.99,3.63,3.63,Holofoil,,[1FF] Mud-Slap (70),L-20
89862,Teddiursa,Teddiursa,https://tcgplayer-cdn.tcgplayer.com/product/89862_200w.jpg,3,1465,https://cpt.tcgcsv.com/gZK,2026-02-17T19:51:29.25,1,RC15/RC25,Common,60,Basic,[1] Honey Snack - Heal 20 damage from this Pokemon.,Fx2,3,2.49,4.31,50.0,4.04,,Holofoil,,[2] Scratch (20),
89964,Torchic,Torchic,https://tcgplayer-cdn.tcgplayer.com/product/89964_200w.jpg,3,1465,https://cpt.tcgcsv.com/j_K,2023-08-01T10:05:59.917,1,RC5/RC25,Common,60,Basic,[R] Peck (10),Wx2,1,3.0,6.87,14.41,6.14,7.45,Holofoil,,[1R] Live Coal (20),
90257,Ursaring,Ursaring,https://tcgplayer-cdn.tcgplayer.com/product/90257_200w.jpg,3,1465,https://cpt.tcgcsv.com/97L,2023-10-21T19:59:12.053,1,RC16/RC25,Common,130,Stage 1,"[2] Picnic Weather - Put a Teddiursa from your discard pile onto your Bench.  Then, attach an Energy card from your discard pile to that Pokemon.",Fx2,3,2.53,5.64,12.01,5.76,,Holofoil,,[4] Fury Swipes (50x) Flip 3 coins.  This attack does 50 damage times the number of heads.,
