productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extAttack2,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName
83899,Blastoise (Delta Species),Blastoise Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83899_200w.jpg,3,1395,https://cpt.tcgcsv.com/_zH,2025-10-29T23:45:32.557,1,2/100,Holo Rare,Fighting Metal,110,Stage 2,"<b>Poke-BODY</b>Shield Veil 
<br>Each of your Active Pokemon has no Weakness.",[1F] Enraged Linear Attack - Choose 1 of your opponent's Pokemon.  This attack does 10 damage for each damage counter on Blastoise to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2M] Skull Bash (60),L,,3,250.0,307.0,750.0,173.65,260.0,Holofoil
83899,Blastoise (Delta Species),Blastoise Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/83899_200w.jpg,3,1395,https://cpt.tcgcsv.com/_zH,2025-10-29T23:45:32.557,1,2/100,Holo Rare,Fighting Metal,110,Stage 2,"<b>Poke-BODY</b>Shield Veil 
<br>Each of your Active Pokemon has no Weakness.",[1F] Enraged Linear Attack - Choose 1 of your opponent's Pokemon.  This attack does 10 damage for each damage counter on Blastoise to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2M] Skull Bash (60),L,,3,112.99,179.34,349.99,183.17,,Reverse Holofoil
83913,Blaziken ex,Blaziken ex,https://tcgplayer-cdn.tcgplayer.com/product/83913_200w.jpg,3,1395,https://cpt.tcgcsv.com/hBH,2024-04-11T17:47:57.977,1,90/100,Ultra Rare,Fighting,150,Stage 2,,"[1F] Drag Off (30) Before doing damage, you may choose 1 of your opponent's Benched Pokemon and switch it with 1 of the Defending Pokemon.  Your opponent chooses the Defending Pokemon to switch.","[2FR] Burn Away (100) Before doing damage, count the remaining HP of the Defending Pokemon.  If that Pokemon is Knocked Out by this attack, Blaziken ex does damage to itself equal to this attack's damage minus the remaining HP of the Defending Pokemon.  This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon.",P,,2,95.0,106.16,132.99,118.6,,Holofoil
84032,Bulbasaur - 045/100,Bulbasaur 045 100,https://tcgplayer-cdn.tcgplayer.com/product/84032_200w.jpg,3,1395,https://cpt.tcgcsv.com/GDH,2024-10-18T17:50:52.18,1,45/100,Common,Grass,50,Basic,,[1] Tackle (10),[G] Poisonpowder - The Defending Pokemon is now Poisoned.,P,,1,4.0,5.89,79.57,8.51,,Normal
84032,Bulbasaur - 045/100,Bulbasaur 045 100,https://tcgplayer-cdn.tcgplayer.com/product/84032_200w.jpg,3,1395,https://cpt.tcgcsv.com/GDH,2024-10-18T17:50:52.18,1,45/100,Common,Grass,50,Basic,,[1] Tackle (10),[G] Poisonpowder - The Defending Pokemon is now Poisoned.,P,,1,56.97,81.32,99.79,79.92,,Reverse Holofoil
84033,Bulbasaur - 046/100,Bulbasaur 046 100,https://tcgplayer-cdn.tcgplayer.com/product/84033_200w.jpg,3,1395,https://cpt.tcgcsv.com/HDH,2025-11-20T00:06:03.907,1,46/100,Common,Grass,50,Basic,,[1] Growth - Attach a G Energy card from your hand to Bulbasaur.,[1G] Vine Whip (20),R,,1,0.75,1.48,7.0,1.74,,Normal
84033,Bulbasaur - 046/100,Bulbasaur 046 100,https://tcgplayer-cdn.tcgplayer.com/product/84033_200w.jpg,3,1395,https://cpt.tcgcsv.com/HDH,2025-11-20T00:06:03.907,1,46/100,Common,Grass,50,Basic,,[1] Growth - Attach a G Energy card from your hand to Bulbasaur.,[1G] Vine Whip (20),R,,1,33.95,49.36,59.99,23.15,,Reverse Holofoil
84073,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84073_200w.jpg,3,1395,https://cpt.tcgcsv.com/tFH,2024-04-11T17:47:58.143,1,47/100,Common,Grass,50,Basic,,[1] Call for Family - Search your deck for a Basic Pokemon and put it onto your Bench.  Shuffle your deck afterward.,"[2] Rising Lunge (10+) Flip a coin.  If heads, this attack does 10 damage plus 20 more damage.",R,,1,0.12,0.49,5.0,0.73,,Normal
84073,Cacnea,Cacnea,https://tcgplayer-cdn.tcgplayer.com/product/84073_200w.jpg,3,1395,https://cpt.tcgcsv.com/tFH,2024-04-11T17:47:58.143,1,47/100,Common,Grass,50,Basic,,[1] Call for Family - Search your deck for a Basic Pokemon and put it onto your Bench.  Shuffle your deck afterward.,"[2] Rising Lunge (10+) Flip a coin.  If heads, this attack does 10 damage plus 20 more damage.",R,,1,3.0,4.96,14.99,4.09,,Reverse Holofoil
84083,Cacturne (Delta Species),Cacturne Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84083_200w.jpg,3,1395,https://cpt.tcgcsv.com/HFH,2025-11-20T00:07:00.817,1,15/100,Rare,Fighting,80,Stage 1,"Spike Storm - Once during your turn (before your attack), if Cacturne is your Active Pokemon, you may put 1 damage counter on 1 of your opponent's Pokemon that already has any damage counters on it.  This power can't be used if Cacturne is affected by a Special Condition.  (Poke-POWER)",[F] Triple Needle - Choose 3 of your opponent's Pokemon.  This attack does 10 damage to each of those Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2F] Light Punch (50),R,,1,0.99,1.65,96.95,1.95,96.95,Normal
84083,Cacturne (Delta Species),Cacturne Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84083_200w.jpg,3,1395,https://cpt.tcgcsv.com/HFH,2025-11-20T00:07:00.817,1,15/100,Rare,Fighting,80,Stage 1,"Spike Storm - Once during your turn (before your attack), if Cacturne is your Active Pokemon, you may put 1 damage counter on 1 of your opponent's Pokemon that already has any damage counters on it.  This power can't be used if Cacturne is affected by a Special Condition.  (Poke-POWER)",[F] Triple Needle - Choose 3 of your opponent's Pokemon.  This attack does 10 damage to each of those Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2F] Light Punch (50),R,,1,17.33,19.49,31.39,16.48,,Reverse Holofoil
84092,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84092_200w.jpg,3,1395,https://cpt.tcgcsv.com/SFH,2025-11-10T23:55:34.117,1,3/100,Holo Rare,Fire,80,Stage 1,Delta Protection - Any damage done to Camerupt by attacks from your opponent's Pokemon that has Delta Species on its card is reduced by 40 (after applying Weakness and Resistance).  (Poke-BODY),[1R] Linear Attack - Choose 1 of your opponent's Pokemon.  This attack does 30 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2R] Combustion (50),W,,2,4.8,9.5,96.95,7.24,96.95,Holofoil
84092,Camerupt,Camerupt,https://tcgplayer-cdn.tcgplayer.com/product/84092_200w.jpg,3,1395,https://cpt.tcgcsv.com/SFH,2025-11-10T23:55:34.117,1,3/100,Holo Rare,Fire,80,Stage 1,Delta Protection - Any damage done to Camerupt by attacks from your opponent's Pokemon that has Delta Species on its card is reduced by 40 (after applying Weakness and Resistance).  (Poke-BODY),[1R] Linear Attack - Choose 1 of your opponent's Pokemon.  This attack does 30 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),[2R] Combustion (50),W,,2,10.0,20.0,38.99,11.11,,Reverse Holofoil
84125,Castaway,Castaway,https://tcgplayer-cdn.tcgplayer.com/product/84125_200w.jpg,3,1395,https://cpt.tcgcsv.com/wGH,2026-02-27T03:49:21.13,1,72/100,Uncommon,Supporter,0,Supporter,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Search your deck for a Supporter card, a Pokemon Tool card, and a basic Energy card.  Show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",,,,,1.0,3.72,6.1,4.0,,Normal
84125,Castaway,Castaway,https://tcgplayer-cdn.tcgplayer.com/product/84125_200w.jpg,3,1395,https://cpt.tcgcsv.com/wGH,2026-02-27T03:49:21.13,1,72/100,Uncommon,Supporter,0,Supporter,"You can play only one Supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Search your deck for a Supporter card, a Pokemon Tool card, and a basic Energy card.  Show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",,,,,4.82,14.66,18.99,16.13,4.43,Reverse Holofoil
84149,Celebi Star,Celebi Star,https://tcgplayer-cdn.tcgplayer.com/product/84149_200w.jpg,3,1395,https://cpt.tcgcsv.com/_GH,2024-04-11T17:47:58.94,1,100/100,Ultra Rare,Grass,60,Basic,"<b>Poke-POWER</b> Time Travel 
<br>If Celebi Star would be Knocked Out by damage from an opponent's attack, you may flip a coin.  If heads, Celebi Star is not Knocked Out, discard all cards attached to Celebi Star, and put Celebi Star on the bottom of your deck.","[G] Leaf Shade 
<br>Count the amount of Energy attached to Celebi Star.  Put that many damage counters on 1 of your opponent's Pokemon.",,R,,1,975.0,1564.86,1564.86,950.0,,Holofoil
84156,Celio's Network,Celios Network,https://tcgplayer-cdn.tcgplayer.com/product/84156_200w.jpg,3,1395,https://cpt.tcgcsv.com/8HH,2024-04-11T17:47:59.303,1,73/100,Uncommon,Trainer,0,Supporter,"You can play only one supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Search your deck for a Basic Pokemon or Evolution card (excluding Pokemon-ex), show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",,,,,0.2,0.57,2.97,0.55,,Normal
84156,Celio's Network,Celios Network,https://tcgplayer-cdn.tcgplayer.com/product/84156_200w.jpg,3,1395,https://cpt.tcgcsv.com/8HH,2024-04-11T17:47:59.303,1,73/100,Uncommon,Trainer,0,Supporter,"You can play only one supporter card each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Search your deck for a Basic Pokemon or Evolution card (excluding Pokemon-ex), show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",,,,,0.99,2.69,5.59,2.34,,Reverse Holofoil
84158,Cessation Crystal,Cessation Crystal,https://tcgplayer-cdn.tcgplayer.com/product/84158_200w.jpg,3,1395,https://cpt.tcgcsv.com/bHH,2024-04-11T17:47:59.333,1,74/100,Uncommon,Item,0,Tool,"Attach Cessation Crystal to 1 of your Pokemon (excluding Pokemon-ex) that doesn't already have a Pokemon Tool attached to it.  If the Pokemon Cessation Crystal is attached to is a Pokemon-ex, discard this card.","As long as Cessation Crystal is attached to an Active Pokemon, each player's Pokemon (both yours and your opponent's) can't use Poke-Powers or Poke-Bodies).",,,,,3.47,4.43,7.0,4.62,,Normal
84158,Cessation Crystal,Cessation Crystal,https://tcgplayer-cdn.tcgplayer.com/product/84158_200w.jpg,3,1395,https://cpt.tcgcsv.com/bHH,2024-04-11T17:47:59.333,1,74/100,Uncommon,Item,0,Tool,"Attach Cessation Crystal to 1 of your Pokemon (excluding Pokemon-ex) that doesn't already have a Pokemon Tool attached to it.  If the Pokemon Cessation Crystal is attached to is a Pokemon-ex, discard this card.","As long as Cessation Crystal is attached to an Active Pokemon, each player's Pokemon (both yours and your opponent's) can't use Poke-Powers or Poke-Bodies).",,,,,8.09,9.39,18.99,18.2,,Reverse Holofoil
84195,Charizard (Delta Species),Charizard Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84195_200w.jpg,3,1395,https://cpt.tcgcsv.com/WHH,2026-02-04T19:32:44.223,1,4/100,Holo Rare,Lightning Metal,120,Stage 2,"Peal of Thunder - Once during your turn, when you play Charizard from your hand to evolve 1 of your Pokemon, you may look at the top 5 cards of your deck, choose as many Energy cards as you like, and attach them to 1 of your Pokemon.  Discard the other cards.  (Poke-POWER)",[1LMM] Metal Burn (120) Discard all M Energy attached to Charizard.,,W,,2,793.6,837.19,884.99,536.99,793.6,Holofoil
84195,Charizard (Delta Species),Charizard Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84195_200w.jpg,3,1395,https://cpt.tcgcsv.com/WHH,2026-02-04T19:32:44.223,1,4/100,Holo Rare,Lightning Metal,120,Stage 2,"Peal of Thunder - Once during your turn, when you play Charizard from your hand to evolve 1 of your Pokemon, you may look at the top 5 cards of your deck, choose as many Energy cards as you like, and attach them to 1 of your Pokemon.  Discard the other cards.  (Poke-POWER)",[1LMM] Metal Burn (120) Discard all M Energy attached to Charizard.,,W,,2,240.0,388.8,799.99,433.19,,Reverse Holofoil
84213,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84213_200w.jpg,3,1395,https://cpt.tcgcsv.com/hJH,2025-11-20T00:07:34.29,1,48/100,Common,Fire,50,Basic,,[1] Retaliate (10x) Does 10 damage times the number of damage counters on Charmander.,[1R] Flame Tail (20),W,,1,1.19,1.6,29.99,3.02,1.55,Normal
84213,Charmander,Charmander,https://tcgplayer-cdn.tcgplayer.com/product/84213_200w.jpg,3,1395,https://cpt.tcgcsv.com/hJH,2025-11-20T00:07:34.29,1,48/100,Common,Fire,50,Basic,,[1] Retaliate (10x) Does 10 damage times the number of damage counters on Charmander.,[1R] Flame Tail (20),W,,1,42.0,84.82,151.0,45.73,,Reverse Holofoil
84220,Charmander (Delta Species),Charmander Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84220_200w.jpg,3,1395,https://cpt.tcgcsv.com/qJH,2026-02-02T15:01:13.937,1,49/100,Common,Lightning,50,Basic,,[1] Scratch (10),[1L] Bite (20),W,,1,1.06,2.99,9.99,3.21,1.99,Normal
84220,Charmander (Delta Species),Charmander Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84220_200w.jpg,3,1395,https://cpt.tcgcsv.com/qJH,2026-02-02T15:01:13.937,1,49/100,Common,Lightning,50,Basic,,[1] Scratch (10),[1L] Bite (20),W,,1,40.95,42.16,59.93,95.91,,Reverse Holofoil
84229,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/84229_200w.jpg,3,1395,https://cpt.tcgcsv.com/CJH,2024-04-11T17:47:59.607,1,29/100,Uncommon,Fire,70,Stage 1,,[2] Rage (10+) Does 10 damage plus 10 more damage for each damage counter on Charmeleon.,[1RR] Flamethrower (60) Discard a R Energy attached to Charmeleon.,W,,1,0.74,1.56,7.0,1.86,,Normal
84229,Charmeleon,Charmeleon,https://tcgplayer-cdn.tcgplayer.com/product/84229_200w.jpg,3,1395,https://cpt.tcgcsv.com/CJH,2024-04-11T17:47:59.607,1,29/100,Uncommon,Fire,70,Stage 1,,[2] Rage (10+) Does 10 damage plus 10 more damage for each damage counter on Charmeleon.,[1RR] Flamethrower (60) Discard a R Energy attached to Charmeleon.,W,,1,15.78,21.52,34.85,23.45,,Reverse Holofoil
84236,Charmeleon (Delta Species),Charmeleon Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84236_200w.jpg,3,1395,https://cpt.tcgcsv.com/LJH,2024-04-11T17:47:59.637,1,30/100,Uncommon,Lightning,70,Stage 1,,[2] Slash (20),"[2L] Thunder Jolt (50) Flip a coin.  If tails, Charmeleon does 10 damage to itself.",W,,1,1.93,4.75,25.0,4.99,,Normal
84236,Charmeleon (Delta Species),Charmeleon Delta Species,https://tcgplayer-cdn.tcgplayer.com/product/84236_200w.jpg,3,1395,https://cpt.tcgcsv.com/LJH,2024-04-11T17:47:59.637,1,30/100,Uncommon,Lightning,70,Stage 1,,[2] Slash (20),"[2L] Thunder Jolt (50) Flip a coin.  If tails, Charmeleon does 10 damage to itself.",W,,1,40.12,52.73,69.69,67.55,69.69,Reverse Holofoil
84407,Combusken - 016/100,Combusken 016 100,https://tcgplayer-cdn.tcgplayer.com/product/84407_200w.jpg,3,1395,https://cpt.tcgcsv.com/9NH,2024-04-11T17:47:59.67,1,16/100,Rare,Fighting,80,Stage 1,,"[F] Focus Energy - During your next turn, Combusken's High Jump Kick attack's base damage is 70.",[1F] High Jump Kick (30),P,,1,0.8,1.03,4.0,0.92,,Normal
84407,Combusken - 016/100,Combusken 016 100,https://tcgplayer-cdn.tcgplayer.com/product/84407_200w.jpg,3,1395,https://cpt.tcgcsv.com/9NH,2024-04-11T17:47:59.67,1,16/100,Rare,Fighting,80,Stage 1,,"[F] Focus Energy - During your next turn, Combusken's High Jump Kick attack's base damage is 70.",[1F] High Jump Kick (30),P,,1,6.09,8.0,19.99,11.27,,Reverse Holofoil
84408,Combusken - 031/100,Combusken 031 100,https://tcgplayer-cdn.tcgplayer.com/product/84408_200w.jpg,3,1395,https://cpt.tcgcsv.com/bNH,2024-04-11T17:47:59.717,1,31/100,Uncommon,Fire,80,Stage 1,,[2] Searing Flame (10) The Defending Pokemon is now Burned.,"[2R] Firebreathing (30+) Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.",W,,2,0.41,0.73,18.9,0.8,,Normal
84408,Combusken - 031/100,Combusken 031 100,https://tcgplayer-cdn.tcgplayer.com/product/84408_200w.jpg,3,1395,https://cpt.tcgcsv.com/bNH,2024-04-11T17:47:59.717,1,31/100,Uncommon,Fire,80,Stage 1,,[2] Searing Flame (10) The Defending Pokemon is now Burned.,"[2R] Firebreathing (30+) Flip a coin.  If heads, this attack does 30 damage plus 20 more damage.",W,,2,30.0,37.52,41.11,26.58,,Reverse Holofoil
84516,Crystal Beach,Crystal Beach,https://tcgplayer-cdn.tcgplayer.com/product/84516_200w.jpg,3,1395,https://cpt.tcgcsv.com/lQH,2024-04-11T17:47:59.777,1,75/100,Uncommon,Stadium,0,Stadium,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Each Special Energy card that provides 2 or more Energy (both yours and your opponent's) now provides only 1 C Energy.  This isn't affected by any Poke-Powers or Poke-Bodies.,,,,,1.4,2.25,5.0,2.36,,Normal
84516,Crystal Beach,Crystal Beach,https://tcgplayer-cdn.tcgplayer.com/product/84516_200w.jpg,3,1395,https://cpt.tcgcsv.com/lQH,2024-04-11T17:47:59.777,1,75/100,Uncommon,Stadium,0,Stadium,"This card stays in play when you play it.  Discard this card if another Stadium card comes into play.  If another card with the same name is in play, you can't play this card.",Each Special Energy card that provides 2 or more Energy (both yours and your opponent's) now provides only 1 C Energy.  This isn't affected by any Poke-Powers or Poke-Bodies.,,,,,4.11,6.39,20.0,6.86,,Reverse Holofoil
84521,Crystal Shard,Crystal Shard,https://tcgplayer-cdn.tcgplayer.com/product/84521_200w.jpg,3,1395,https://cpt.tcgcsv.com/rQH,2024-04-11T17:47:59.84,1,76/100,Uncommon,Item,0,Tool,"Attach Crystal Shard to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","As long as this card is attached to a Pokemon, that Pokemon's type is Colorless.  If that Pokemon attacks, discard this card at the end of the turn.",,,,,0.15,0.4,1.7,0.48,,Normal
84521,Crystal Shard,Crystal Shard,https://tcgplayer-cdn.tcgplayer.com/product/84521_200w.jpg,3,1395,https://cpt.tcgcsv.com/rQH,2024-04-11T17:47:59.84,1,76/100,Uncommon,Item,0,Tool,"Attach Crystal Shard to 1 of your Pokemon that doesn't already have a Pokemon Tool attached to it.  If that Pokemon is Knocked Out, discard this card.","As long as this card is attached to a Pokemon, that Pokemon's type is Colorless.  If that Pokemon attacks, discard this card at the end of the turn.",,,,,1.15,2.95,5.99,2.95,,Reverse Holofoil
84744,Delcatty ex,Delcatty ex,https://tcgplayer-cdn.tcgplayer.com/product/84744_200w.jpg,3,1395,https://cpt.tcgcsv.com/VVH,2024-04-11T17:47:59.903,1,91/100,Ultra Rare,Colorless,90,Stage 1,"Constrain - Once during your turn (before your attack), you may use this power.  Each player discards cards until that player has 6 cards in his or her hand.  (You discard first.)  This power can't be used if Delcatty ex is affected by a Special Condition.  (Poke-POWER)","[1] Upstream (10x) Search your discard pile for all Energy cards.  This attack does 10 damage times the number of Energy cards you find there.  Show them to your opponent, and put them on top of your deck.  Shuffle your deck afterward.",[3] Tail Slap (60),F,,0,37.0,62.31,78.3,63.52,,Holofoil
84822,Diglett,Diglett,https://tcgplayer-cdn.tcgplayer.com/product/84822_200w.jpg,3,1395,https://cpt.tcgcsv.com/sXH,2024-04-11T17:47:59.967,1,50/100,Common,Fighting,50,Basic,,[1] Mud Slap (10),[1F] Sand Pit (20) The Defending Pokemon can't retreat during your opponent's next turn.,G,,1,0.29,0.9,21.0,1.07,,Normal
84822,Diglett,Diglett,https://tcgplayer-cdn.tcgplayer.com/product/84822_200w.jpg,3,1395,https://cpt.tcgcsv.com/sXH,2024-04-11T17:47:59.967,1,50/100,Common,Fighting,50,Basic,,[1] Mud Slap (10),[1F] Sand Pit (20) The Defending Pokemon can't retreat during your opponent's next turn.,G,,1,39.99,41.24,42.49,19.22,,Reverse Holofoil
84889,Double Full Heal,Double Full Heal,https://tcgplayer-cdn.tcgplayer.com/product/84889_200w.jpg,3,1395,https://cpt.tcgcsv.com/PZH,2024-04-11T17:48:00.053,1,77/100,Uncommon,Item,0,Trainer,,Remove all Special Conditions from each of your Active Pokemon.,,,,,0.1,0.35,1.99,0.35,,Normal
84889,Double Full Heal,Double Full Heal,https://tcgplayer-cdn.tcgplayer.com/product/84889_200w.jpg,3,1395,https://cpt.tcgcsv.com/PZH,2024-04-11T17:48:00.053,1,77/100,Uncommon,Item,0,Trainer,,Remove all Special Conditions from each of your Active Pokemon.,,,,,1.04,2.7,7.99,2.7,,Reverse Holofoil
84893,Double Rainbow Energy,Double Rainbow Energy,https://tcgplayer-cdn.tcgplayer.com/product/84893_200w.jpg,3,1395,https://cpt.tcgcsv.com/TZH,2024-04-11T17:48:00.08,1,88/100,Rare,Energy,0,Special Energy,,"Double Rainbow Energy can be attached only to an Evolved Pokemon (excluding Pokemon-ex).  While in play, Double Rainbow Energy provides every type of Energy but provides 2 Energy at a time.  (Has no effect other than providing Energy.)  Damage done to your opponent's Pokemon by the Pokemon Double Rainbow Energy is attached to is reduced by 10 (before applying Weakness and Resistance).  When the Pokemon Double Rainbow Energy is attached to is no longer an Evolved Pokemon, discard Double Rainbow Energy.",,,,,3.49,5.21,10.0,4.86,,Normal
