productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extAttack2,extWeakness,extRetreatCost
268087,Cinderace V - 043/264 (#60 Cinderace Stamped),Cinderace V 043 264 60 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268087_200w.jpg,3,3051,https://cpt.tcgcsv.com/Mf93,2026-02-16T22:50:04.777,1,"<em>V rule — When your Pokémon V is Knocked Out, your opponent takes 2 Prize cards.</em>",0.25,0.78,3.99,0.66,,Holofoil,043/264,Promo,Fire,220,Basic,"[1RR] Blaze Kick (210)
<br>
Discard 2 Fire Energy from this Pokémon.",,Wx2,2
268091,Energy Retrieval - 160/202 (#25 Cinderace Stamped),Energy Retrieval 160 202 25 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268091_200w.jpg,3,3051,https://cpt.tcgcsv.com/Rf93,2023-05-08T15:21:44.16,1,Put up to 2 basic Energy cards from your discard pile into your hand.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.02,0.15,1.0,0.11,,Normal,160/202,Promo,Item,,,,,,
268092,Energy Retrieval - 160/202 (#37 Cinderace Stamped),Energy Retrieval 160 202 37 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268092_200w.jpg,3,3051,https://cpt.tcgcsv.com/Sf93,2023-05-08T15:21:17.917,1,Put up to 2 basic Energy cards from your discard pile into your hand.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.02,0.15,1.5,0.13,,Normal,160/202,Promo,Item,,,,,,
268093,Fire Energy (#2 Cinderace Stamped),Fire Energy 2 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268093_200w.jpg,3,3051,https://cpt.tcgcsv.com/Tf93,2023-05-08T15:20:45.223,1,,0.03,0.17,0.86,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268094,Fire Energy (#3 Cinderace Stamped),Fire Energy 3 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268094_200w.jpg,3,3051,https://cpt.tcgcsv.com/Vf93,2023-05-08T15:12:47.82,1,,0.04,0.18,0.86,0.16,,Normal,,Promo,Basic Fire Energy,,,,,,
268095,Fire Energy (#5 Cinderace Stamped),Fire Energy 5 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268095_200w.jpg,3,3051,https://cpt.tcgcsv.com/Wf93,2023-05-08T15:10:17.173,1,,0.05,0.17,0.86,0.11,,Normal,,Promo,Basic Fire Energy,,,,,,
268096,Fire Energy (#6 Cinderace Stamped),Fire Energy 6 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268096_200w.jpg,3,3051,https://cpt.tcgcsv.com/Xf93,2023-05-08T14:58:10.747,1,,0.05,0.17,0.86,0.13,,Normal,,Promo,Basic Fire Energy,,,,,,
268097,Fire Energy (#8 Cinderace Stamped),Fire Energy 8 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268097_200w.jpg,3,3051,https://cpt.tcgcsv.com/Zf93,2023-05-08T15:11:39.79,1,,0.01,0.18,0.86,0.07,,Normal,,Promo,Basic Fire Energy,,,,,,
268098,Fire Energy (#9 Cinderace Stamped),Fire Energy 9 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268098_200w.jpg,3,3051,https://cpt.tcgcsv.com/-f93,2023-05-08T15:07:50.423,1,,0.05,0.18,0.86,0.09,,Normal,,Promo,Basic Fire Energy,,,,,,
268099,Fire Energy (#10 Cinderace Stamped),Fire Energy 10 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268099_200w.jpg,3,3051,https://cpt.tcgcsv.com/_f93,2023-05-08T15:20:58.457,1,,0.05,0.17,0.86,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268100,Fire Energy (#11 Cinderace Stamped),Fire Energy 11 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268100_200w.jpg,3,3051,https://cpt.tcgcsv.com/0g93,2023-05-08T15:18:26.913,1,,0.06,0.2,0.86,0.06,,Normal,,Promo,Basic Fire Energy,,,,,,
268101,Fire Energy (#12 Cinderace Stamped),Fire Energy 12 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268101_200w.jpg,3,3051,https://cpt.tcgcsv.com/2g93,2023-05-08T15:16:27.153,1,,0.04,0.19,0.86,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268102,Fire Energy (#16 Cinderace Stamped),Fire Energy 16 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268102_200w.jpg,3,3051,https://cpt.tcgcsv.com/3g93,2023-05-08T15:13:43.033,1,,0.03,0.2,0.4,0.11,,Normal,,Promo,Basic Fire Energy,,,,,,
268103,Fire Energy (#20 Cinderace Stamped),Fire Energy 20 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268103_200w.jpg,3,3051,https://cpt.tcgcsv.com/5g93,2023-05-08T15:13:28.653,1,,0.06,0.17,0.4,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268104,Fire Energy (#22 Cinderace Stamped),Fire Energy 22 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268104_200w.jpg,3,3051,https://cpt.tcgcsv.com/6g93,2023-05-08T15:13:14.42,1,,0.1,0.19,0.4,0.1,,Normal,,Promo,Basic Fire Energy,,,,,,
268105,Fire Energy (#24 Cinderace Stamped),Fire Energy 24 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268105_200w.jpg,3,3051,https://cpt.tcgcsv.com/7g93,2023-05-08T15:13:00.993,1,,0.01,0.15,0.4,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268106,Fire Energy (#26 Cinderace Stamped),Fire Energy 26 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268106_200w.jpg,3,3051,https://cpt.tcgcsv.com/8g93,2023-05-08T15:12:34.887,1,,0.04,0.17,0.49,0.1,,Normal,,Promo,Basic Fire Energy,,,,,,
268107,Fire Energy (#29 Cinderace Stamped),Fire Energy 29 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268107_200w.jpg,3,3051,https://cpt.tcgcsv.com/9g93,2023-05-08T15:11:59.29,1,,0.05,0.16,0.4,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268108,Fire Energy (#32 Cinderace Stamped),Fire Energy 32 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268108_200w.jpg,3,3051,https://cpt.tcgcsv.com/bg93,2023-05-08T15:08:29.263,1,,0.05,0.17,0.4,0.07,,Normal,,Promo,Basic Fire Energy,,,,,,
268109,Fire Energy (#35 Cinderace Stamped),Fire Energy 35 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268109_200w.jpg,3,3051,https://cpt.tcgcsv.com/cg93,2023-05-08T15:08:55.21,1,,0.05,0.15,0.4,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268110,Fire Energy (#38 Cinderace Stamped),Fire Energy 38 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268110_200w.jpg,3,3051,https://cpt.tcgcsv.com/dg93,2023-05-08T14:57:32.277,1,,0.06,0.17,0.4,0.08,,Normal,,Promo,Basic Fire Energy,,,,,,
268111,Great Ball - 164/202 (#33 Cinderace Stamped),Great Ball 164 202 33 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268111_200w.jpg,3,3051,https://cpt.tcgcsv.com/fg93,2023-05-08T13:58:45.56,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.01,0.17,1.0,0.15,,Normal,164/202,Promo,Item,,,,,,
268112,Great Ball - 164/202 (#43 Cinderace Stamped),Great Ball 164 202 43 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268112_200w.jpg,3,3051,https://cpt.tcgcsv.com/gg93,2023-05-08T13:57:10.263,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.01,0.19,1.04,0.13,,Normal,164/202,Promo,Item,,,,,,
268113,Great Ball - 164/202 (#48 Cinderace Stamped),Great Ball 164 202 48 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268113_200w.jpg,3,3051,https://cpt.tcgcsv.com/hg93,2023-05-08T13:58:24.577,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.01,0.19,0.86,0.13,,Normal,164/202,Promo,Item,,,,,,
268114,Great Ball - 164/202 (#55 Cinderace Stamped),Great Ball 164 202 55 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268114_200w.jpg,3,3051,https://cpt.tcgcsv.com/jg93,2023-05-08T13:57:43.473,1,Look at the top 7 cards of your deck. You may reveal a Pokémon you find there and put it into your hand. Shuffle the other cards back into your deck.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.01,0.19,1.05,0.14,,Normal,164/202,Promo,Item,,,,,,
268115,Hop - 165/202 (#28 Cinderace Stamped),Hop 165 202 28 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268115_200w.jpg,3,3051,https://cpt.tcgcsv.com/kg93,2023-05-08T13:15:05.883,1,Draw 3 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.,0.03,0.13,1.04,0.07,,Normal,165/202,Promo,Supporter,,,,,,
268116,Hop - 165/202 (#41 Cinderace Stamped),Hop 165 202 41 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268116_200w.jpg,3,3051,https://cpt.tcgcsv.com/lg93,2023-05-08T13:52:05.667,1,Draw 3 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.,0.04,0.15,0.99,0.1,,Normal,165/202,Promo,Supporter,,,,,,
268117,Hop - 165/202 (#52 Cinderace Stamped),Hop 165 202 52 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268117_200w.jpg,3,3051,https://cpt.tcgcsv.com/mg93,2023-05-08T13:53:02.517,1,Draw 3 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.,0.04,0.15,0.86,0.09,,Normal,165/202,Promo,Supporter,,,,,,
268118,Hop - 165/202 (#57 Cinderace Stamped),Hop 165 202 57 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268118_200w.jpg,3,3051,https://cpt.tcgcsv.com/ng93,2023-05-08T13:43:00.38,1,Draw 3 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.,0.03,0.15,1.04,0.06,,Normal,165/202,Promo,Supporter,,,,,,
268147,Larvesta - 023/198 (#19 Cinderace Stamped),Larvesta 023 198 19 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268147_200w.jpg,3,3051,https://cpt.tcgcsv.com/Zg93,2026-02-06T16:01:36.267,1,,0.04,0.2,1.04,0.13,0.4,Normal,023/198,Promo,Fire,80,Basic,"[R] Flame Charge (10)
<br>Search your deck for a Fire Energy card and attach it to this Pokémon. Then, shuffle your deck.",,Wx2,3
268148,Larvesta - 023/198 (#36 Cinderace Stamped),Larvesta 023 198 36 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268148_200w.jpg,3,3051,https://cpt.tcgcsv.com/-g93,2023-05-08T13:36:43.853,1,,0.07,0.2,1.23,0.13,,Normal,023/198,Promo,Fire,80,Basic,"[R] Flame Charge (10)
<br>Search your deck for a Fire Energy card and attach it to this Pokémon. Then, shuffle your deck.",,Wx2,3
268149,Larvesta - 023/198 (#46 Cinderace Stamped),Larvesta 023 198 46 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268149_200w.jpg,3,3051,https://cpt.tcgcsv.com/_g93,2023-05-08T13:41:06.057,1,,0.05,0.19,0.99,0.15,,Normal,023/198,Promo,Fire,80,Basic,"[R] Flame Charge (10)
<br>Search your deck for a Fire Energy card and attach it to this Pokémon. Then, shuffle your deck.",,Wx2,3
268150,Ninetales - 030/264 (#7 Cinderace Stamped),Ninetales 030 264 7 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268150_200w.jpg,3,3051,https://cpt.tcgcsv.com/0h93,2023-05-08T13:35:10.983,1,,0.14,0.33,1.44,0.25,,Normal,030/264,Promo,Fire,110,Stage 1,[1R] Supernatural Flames (70),,Wx2,1
268151,Ninetales - 030/264 (#23 Cinderace Stamped),Ninetales 030 264 23 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268151_200w.jpg,3,3051,https://cpt.tcgcsv.com/2h93,2023-05-08T13:33:53.067,1,,0.13,0.25,1.63,0.19,,Normal,030/264,Promo,Fire,110,Stage 1,[1R] Supernatural Flames (70),,Wx2,1
268152,Pokemon Catcher - 175/202 (#49 Cinderace Stamped),Pokemon Catcher 175 202 49 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268152_200w.jpg,3,3051,https://cpt.tcgcsv.com/3h93,2023-05-08T13:30:17.097,1,"Flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with their Active Pokémon.
<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",0.02,0.15,0.99,0.1,,Normal,175/202,Promo,Supporter,,,,,,
268153,Pokemon Catcher - 175/202 (#54 Cinderace Stamped),Pokemon Catcher 175 202 54 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268153_200w.jpg,3,3051,https://cpt.tcgcsv.com/5h93,2026-03-11T21:07:43.53,1,"Flip a coin. If heads, switch 1 of your opponent's Benched Pokémon with their Active Pokémon.
<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.",0.04,0.15,0.99,0.05,,Normal,175/202,Promo,Item,,,,,,
268154,Potion - 177/202 (#42 Cinderace Stamped),Potion 177 202 42 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268154_200w.jpg,3,3051,https://cpt.tcgcsv.com/6h93,2023-05-08T13:24:54.853,1,Heal 30 damage from 1 of your Pokémon.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.01,0.12,0.86,0.1,,Normal,177/202,Promo,Item,,,,,,
268155,Shauna - 240/264 (#21 Cinderace Stamped),Shauna 240 264 21 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268155_200w.jpg,3,3051,https://cpt.tcgcsv.com/7h93,2023-05-08T13:25:14.51,1,"Shuffle your hand into your deck. Then, draw 5 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",0.01,0.15,1.07,0.13,,Normal,240/264,Promo,Supporter,,,,,,
268156,Shauna - 240/264 (#50 Cinderace Stamped),Shauna 240 264 50 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268156_200w.jpg,3,3051,https://cpt.tcgcsv.com/8h93,2023-05-08T16:10:59.983,1,"Shuffle your hand into your deck. Then, draw 5 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",0.01,0.15,1.05,0.1,,Normal,240/264,Promo,Supporter,,,,,,
268157,Shauna - 240/264 (#59 Cinderace Stamped),Shauna 240 264 59 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268157_200w.jpg,3,3051,https://cpt.tcgcsv.com/9h93,2023-05-08T16:11:49.893,1,"Shuffle your hand into your deck. Then, draw 5 cards.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",0.04,0.18,1.1,0.18,,Normal,240/264,Promo,Supporter,,,,,,
268158,Sonia - 167/192 (#45 Cinderace Stamped),Sonia 167 192 45 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268158_200w.jpg,3,3051,https://cpt.tcgcsv.com/bh93,2023-05-08T16:04:52.137,1,"Search your deck for up to 2 Basic Pokemon or up to 2 basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck.<br><br> You may play only 1 Supporter card during your turn <em>(before your attack)</em>.",0.05,0.16,0.99,0.12,,Normal,167/192,Promo,Supporter,,,,,,
268159,Switch - 183/202 (#40 Cinderace Stamped),Switch 183 202 40 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268159_200w.jpg,3,3051,https://cpt.tcgcsv.com/ch93,2023-05-08T15:58:55.063,1,Switch your Active Pokémon with 1 of your Benched Pokémon.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.04,0.15,1.17,0.09,,Normal,183/202,Promo,Item,,,,,,
268160,Switch - 183/202 (#58 Cinderace Stamped),Switch 183 202 58 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268160_200w.jpg,3,3051,https://cpt.tcgcsv.com/dh93,2023-05-08T15:58:06.21,1,Switch your Active Pokémon with 1 of your Benched Pokémon.<br><br> You may play as many Item cards as you like during your turn <em>(before your attack)</em>.,0.01,0.16,1.0,0.11,,Normal,183/202,Promo,Item,,,,,,
268161,Turtonator - 029/202 (#39 Cinderace Stamped),Turtonator 029 202 39 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268161_200w.jpg,3,3051,https://cpt.tcgcsv.com/fh93,2023-05-08T15:56:03.14,1,,0.05,0.25,4.0,0.15,,Normal,029/202,Promo,Fire,130,Basic,[2] Tackle (30),"[1RRR] Fire Spin (150)
<br>Discard 2 Energy from this Pokémon.",Wx2,3
268162,Victini - 007/073 (#4 Cinderace Stamped),Victini 007 073 4 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268162_200w.jpg,3,3051,https://cpt.tcgcsv.com/gh93,2023-05-08T15:58:24.18,1,,0.1,0.18,1.49,0.17,,Normal,007/073,Promo,Fire,70,Basic,"[1] Quick Draw
<br>Draw a card.",[1R] Combustion (30),Wx2,1
268163,Victini - 007/073 (#53 Cinderace Stamped),Victini 007 073 53 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268163_200w.jpg,3,3051,https://cpt.tcgcsv.com/hh93,2023-05-08T15:51:27.107,1,,0.05,0.19,1.24,0.18,,Normal,007/073,Promo,Fire,70,Basic,"[1] Quick Draw
<br>Draw a card.",[1R] Combustion (30),Wx2,1
268164,Volcarona - 024/198 (#27 Cinderace Stamped),Volcarona 024 198 27 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268164_200w.jpg,3,3051,https://cpt.tcgcsv.com/jh93,2025-10-29T06:10:09.62,1,,0.1,0.25,4.0,0.2,0.3,Normal,024/198,Promo,Fire,130,Stage 1,[1R] Combustion (50),"[1RR] Fire Spin (170)
<br>Discard 2 Energy card from this Pokémon.",Wx2,2
268165,Volcarona - 024/198 (#44 Cinderace Stamped),Volcarona 024 198 44 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268165_200w.jpg,3,3051,https://cpt.tcgcsv.com/kh93,2023-05-08T15:50:35.58,1,,0.05,0.22,1.19,0.18,,Normal,024/198,Promo,Fire,130,Stage 1,[1R] Combustion (50),"[1RR] Fire Spin (170)
<br>Discard 2 Energy card from this Pokémon.",Wx2,2
268166,Vulpix - 029/264 (#13 Cinderace Stamped),Vulpix 029 264 13 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268166_200w.jpg,3,3051,https://cpt.tcgcsv.com/lh93,2023-05-08T15:57:33.36,1,,0.1,0.24,1.3,0.24,,Normal,029/264,Promo,Fire,70,Basic,[1] Smash Kick (10),,Wx2,1
268167,Vulpix - 029/264 (#18 Cinderace Stamped),Vulpix 029 264 18 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268167_200w.jpg,3,3051,https://cpt.tcgcsv.com/mh93,2023-05-08T15:56:46.91,1,,0.08,0.26,1.24,0.27,,Normal,029/264,Promo,Fire,70,Basic,[1] Smash Kick (10),,Wx2,1
268168,Vulpix - 029/264 (#31 Cinderace Stamped),Vulpix 029 264 31 Cinderace Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268168_200w.jpg,3,3051,https://cpt.tcgcsv.com/nh93,2023-05-08T15:55:24.223,1,,0.15,0.31,1.27,0.31,,Normal,029/264,Promo,Fire,70,Basic,[1] Smash Kick (10),,Wx2,1
268169,Blitzle - 053/185 (#2 Pikachu Stamped),Blitzle 053 185 2 Pikachu Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268169_200w.jpg,3,3051,https://cpt.tcgcsv.com/ph93,2023-05-08T15:37:38.303,1,,0.04,0.2,1.0,0.14,,Normal,053/185,Promo,Lightning,60,Basic,[L] Zap Kick (20),,Fx2,1
268170,Blitzle - 053/185 (#15 Pikachu Stamped),Blitzle 053 185 15 Pikachu Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268170_200w.jpg,3,3051,https://cpt.tcgcsv.com/qh93,2023-05-08T15:33:38.557,1,,0.07,0.16,1.0,0.13,,Normal,053/185,Promo,Lightning,60,Basic,[L] Zap Kick (20),,Fx2,1
268171,Blitzle - 053/185 (#30 Pikachu Stamped),Blitzle 053 185 30 Pikachu Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268171_200w.jpg,3,3051,https://cpt.tcgcsv.com/rh93,2023-05-08T15:30:32.857,1,,0.04,0.15,1.0,0.09,,Normal,053/185,Promo,Lightning,60,Basic,[L] Zap Kick (20),,Fx2,1
268172,Blitzle - 053/185 (#55 Pikachu Stamped),Blitzle 053 185 55 Pikachu Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268172_200w.jpg,3,3051,https://cpt.tcgcsv.com/sh93,2023-05-08T15:33:17.467,1,,0.05,0.2,1.1,0.11,,Normal,053/185,Promo,Lightning,60,Basic,[L] Zap Kick (20),,Fx2,1
268173,Boltund - 076/202 (#16 Pikachu Stamped),Boltund 076 202 16 Pikachu Stamped,https://tcgplayer-cdn.tcgplayer.com/product/268173_200w.jpg,3,3051,https://cpt.tcgcsv.com/th93,2023-05-08T15:31:10.143,1,,0.1,0.25,3.25,0.2,,Normal,076/202,Promo,Lightning,120,Stage 1,[2] Bite (50),"[1LL] Electric Dash (160)
<br>This Pokémon can't attack during your next turn.",Fx2,
