productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extWeakness,extResistance,extRetreatCost,extAttack3
83585,Arcanine,Arcanine,https://tcgplayer-cdn.tcgplayer.com/product/83585_200w.jpg,3,1367,https://cpt.tcgcsv.com/KrH,2024-10-21T20:00:37.587,1,1/111,Holo Rare,Fire,100,Stage 1,"Flare Condition - As long as Arcanine has any R Energy attached to it, Arcanine has no Weakness.  (Poke-BODY)",[1R] Burn Out (30+) You may do 30 damage plus 30 more damage.  If you do Arcanine is now Burned.,40.0,40.0,98.79,59.84,,Reverse Holofoil,[2R] Flames of Rage (60+) Discard a R Energy attached to Arcanine.  This attack does 60 damage plus 10 more damage for each damage counter on Arcanine.,W+20,,2,
83637,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83637_200w.jpg,3,1367,https://cpt.tcgcsv.com/MsH,2025-11-11T22:21:27.573,1,57/111,Common,Metal,50,Basic,,[M] Iron Head (10x) Flip a coin until you get tails.  This attack does 10 damage times the number of heads.,0.2,0.34,0.99,0.35,0.22,Normal,[2] Ram (20),R+10,P-20,1,
83637,Aron,Aron,https://tcgplayer-cdn.tcgplayer.com/product/83637_200w.jpg,3,1367,https://cpt.tcgcsv.com/MsH,2025-11-11T22:21:27.573,1,57/111,Common,Metal,50,Basic,,[M] Iron Head (10x) Flip a coin until you get tails.  This attack does 10 damage times the number of heads.,0.99,2.64,3.78,2.5,2.64,Reverse Holofoil,[2] Ram (20),R+10,P-20,1,
83738,Bastiodon GL,Bastiodon GL,https://tcgplayer-cdn.tcgplayer.com/product/83738_200w.jpg,3,1367,https://cpt.tcgcsv.com/NvH,2023-11-07T21:48:00.307,1,2/111,Holo Rare,Metal,90,Basic,,[2M] Bounce Back (30) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,1.75,4.89,7.34,6.84,4.15,Holofoil,[3M] Smack Attack (60) Remove 1 damage counter from Bastiodon GL.,Rx2,P-20,3,
83738,Bastiodon GL,Bastiodon GL,https://tcgplayer-cdn.tcgplayer.com/product/83738_200w.jpg,3,1367,https://cpt.tcgcsv.com/NvH,2023-11-07T21:48:00.307,1,2/111,Holo Rare,Metal,90,Basic,,[2M] Bounce Back (30) Your opponent switches the Defending Pokemon with 1 of his or her Benched Pokemon.,6.25,15.99,16.68,6.4,,Reverse Holofoil,[3M] Smack Attack (60) Remove 1 damage counter from Bastiodon GL.,Rx2,P-20,3,
83763,Bebe's Search,Bebes Search,https://tcgplayer-cdn.tcgplayer.com/product/83763_200w.jpg,3,1367,https://cpt.tcgcsv.com/hwH,2025-02-05T21:07:33.757,1,89/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Choose a card from your hand and put it on top of your deck.  Search your deck for a Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  (If this is the only card in your hand, you can't play this card.)",0.07,0.3,1.69,0.29,,Normal,,,,,
83763,Bebe's Search,Bebes Search,https://tcgplayer-cdn.tcgplayer.com/product/83763_200w.jpg,3,1367,https://cpt.tcgcsv.com/hwH,2025-02-05T21:07:33.757,1,89/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.","Choose a card from your hand and put it on top of your deck.  Search your deck for a Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  (If this is the only card in your hand, you can't play this card.)",0.39,1.01,2.98,1.15,,Reverse Holofoil,,,,,
83771,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83771_200w.jpg,3,1367,https://cpt.tcgcsv.com/rwH,2023-11-07T21:49:37.213,1,15/111,Rare,Grass,110,Stage 2,"Flutter Wings - Once during your turn (before your attack), you may search your deck for a G Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Beedrill is affected by a Special Condition.  (Poke-POWER)",[2G] Needle Shock (30) The Defending Pokemon is now Paralyzed and Poisoned.  Ignore this effect if any of your Pokemon used Needle Shock during your last turn.,0.3,0.88,5.0,0.95,,Normal,,R+30,,1,
83771,Beedrill,Beedrill,https://tcgplayer-cdn.tcgplayer.com/product/83771_200w.jpg,3,1367,https://cpt.tcgcsv.com/rwH,2023-11-07T21:49:37.213,1,15/111,Rare,Grass,110,Stage 2,"Flutter Wings - Once during your turn (before your attack), you may search your deck for a G Pokemon, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.  This power can't be used if Beedrill is affected by a Special Condition.  (Poke-POWER)",[2G] Needle Shock (30) The Defending Pokemon is now Paralyzed and Poisoned.  Ignore this effect if any of your Pokemon used Needle Shock during your last turn.,1.26,2.19,3.59,2.47,,Reverse Holofoil,,R+30,,1,
83813,Bertha's Warmth,Berthas Warmth,https://tcgplayer-cdn.tcgplayer.com/product/83813_200w.jpg,3,1367,https://cpt.tcgcsv.com/hxH,2023-11-07T22:00:02.213,1,90/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",Remove 5 damage counters from 1 of your Pokemon SP.,0.14,0.32,1.44,0.44,,Normal,,,,,
83813,Bertha's Warmth,Berthas Warmth,https://tcgplayer-cdn.tcgplayer.com/product/83813_200w.jpg,3,1367,https://cpt.tcgcsv.com/hxH,2023-11-07T22:00:02.213,1,90/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",Remove 5 damage counters from 1 of your Pokemon SP.,1.33,2.16,2.99,1.21,,Reverse Holofoil,,,,,
83999,Bronzong E4,Bronzong E4,https://tcgplayer-cdn.tcgplayer.com/product/83999_200w.jpg,3,1367,https://cpt.tcgcsv.com/_CH,2025-11-11T22:26:01.247,1,16/111,Rare,Psychic,90,Basic,,[0] Hand Refresh - Each player shuffles his of her hand into his or her deck and draws up to 4 cards.  (You draw your cards first.),0.5,1.0,5.75,1.14,5.75,Normal,"[1P] Payback (10+) If your opponent has only 1 Prize card left, this attack does 10 damage plus 50 more damage and the Defending Pokemon is now Confused.",Px2,R-20,3,
83999,Bronzong E4,Bronzong E4,https://tcgplayer-cdn.tcgplayer.com/product/83999_200w.jpg,3,1367,https://cpt.tcgcsv.com/_CH,2025-11-11T22:26:01.247,1,16/111,Rare,Psychic,90,Basic,,[0] Hand Refresh - Each player shuffles his of her hand into his or her deck and draws up to 4 cards.  (You draw your cards first.),0.99,1.62,3.59,1.86,,Reverse Holofoil,"[1P] Payback (10+) If your opponent has only 1 Prize card left, this attack does 10 damage plus 50 more damage and the Defending Pokemon is now Confused.",Px2,R-20,3,
84115,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84115_200w.jpg,3,1367,https://cpt.tcgcsv.com/kGH,2023-11-07T21:55:33.96,1,58/111,Common,Darkness,40,Basic,,"[1] Scary Face - Flip a coin.  If heads, the Defending Pokemon can't attack or retreat during your opponent's next turn.",0.05,0.24,1.49,0.21,,Normal,"[D] Whirlpool (10) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",L+10,P-20,1,
84115,Carvanha,Carvanha,https://tcgplayer-cdn.tcgplayer.com/product/84115_200w.jpg,3,1367,https://cpt.tcgcsv.com/kGH,2023-11-07T21:55:33.96,1,58/111,Common,Darkness,40,Basic,,"[1] Scary Face - Flip a coin.  If heads, the Defending Pokemon can't attack or retreat during your opponent's next turn.",0.7,1.03,1.57,1.15,1.57,Reverse Holofoil,"[D] Whirlpool (10) Flip a coin.  If heads, discard an Energy attached to the Defending Pokemon.",L+10,P-20,1,
84238,Charon's Choice,Charons Choice,https://tcgplayer-cdn.tcgplayer.com/product/84238_200w.jpg,3,1367,https://cpt.tcgcsv.com/NJH,2019-12-27T18:08:28.837,1,RT6,Ultra Rare,Supporter,,,"You can play only one Supporter each turn. When you play this card, put it next to your Active Pokemon. When your turn ends, discard this card.
<br><br>
Search your deck for any Rotom and switch it with any Rotom you have in play. Any cards attached to Rotom and damage counters on it are now on the new Pokemon. <em> (Remove all Special Conditions and effects from Rotom.)</em> Put Rotom on top of your deck.  Shuffle your deck afterward.",,9.5,10.74,96.8,10.64,,Reverse Holofoil,,,,,
84692,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84692_200w.jpg,3,1367,https://cpt.tcgcsv.com/STH,2025-02-05T21:07:33.803,1,99/111,Uncommon,Energy,0,Special Energy,,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  Ignore this effect if the Pokemon that Darkness Energy is attached to isn't Dark.  Darkness Energy provides D Energy.  (Doesn't count as a basic Energy card.)",0.15,0.5,3.49,0.37,,Normal,,,,,
84692,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84692_200w.jpg,3,1367,https://cpt.tcgcsv.com/STH,2025-02-05T21:07:33.803,1,99/111,Uncommon,Energy,0,Special Energy,,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon (before applying Weakness and Resistance).  Ignore this effect if the Pokemon that Darkness Energy is attached to isn't Dark.  Darkness Energy provides D Energy.  (Doesn't count as a basic Energy card.)",1.15,1.7,2.64,1.55,,Reverse Holofoil,,,,,
84710,Darkrai G,Darkrai G,https://tcgplayer-cdn.tcgplayer.com/product/84710_200w.jpg,3,1367,https://cpt.tcgcsv.com/dVH,2023-11-07T21:48:06.5,1,3/111,Holo Rare,Darkness,90,Basic,Eerie Aura - Put 1 Damage counter on each of your opponent's Pokemon that remains Asleep between turns.  (Poke-BODY),"[2D] Darkness Sleep (50) If the Defending Pokemon already has any damage counters on it, that Pokemon is now Asleep.",26.0,33.91,72.91,49.59,,Holofoil,,Fx2,P-20,2,
84710,Darkrai G,Darkrai G,https://tcgplayer-cdn.tcgplayer.com/product/84710_200w.jpg,3,1367,https://cpt.tcgcsv.com/dVH,2023-11-07T21:48:06.5,1,3/111,Holo Rare,Darkness,90,Basic,Eerie Aura - Put 1 Damage counter on each of your opponent's Pokemon that remains Asleep between turns.  (Poke-BODY),"[2D] Darkness Sleep (50) If the Defending Pokemon already has any damage counters on it, that Pokemon is now Asleep.",32.18,77.59,123.0,123.11,,Reverse Holofoil,,Fx2,P-20,2,
84925,Drapion E4,Drapion E4,https://tcgplayer-cdn.tcgplayer.com/product/84925_200w.jpg,3,1367,https://cpt.tcgcsv.com/w-H,2023-11-07T21:49:51.747,1,17/111,Rare,Darkness,100,Basic,,"[2] Body Slam (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",0.4,1.51,5.0,1.78,,Normal,[3P] Mega Impact (70),Fx2,P-20,3,
84925,Drapion E4,Drapion E4,https://tcgplayer-cdn.tcgplayer.com/product/84925_200w.jpg,3,1367,https://cpt.tcgcsv.com/w-H,2023-11-07T21:49:51.747,1,17/111,Rare,Darkness,100,Basic,,"[2] Body Slam (20) Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",2.2,2.23,2.25,2.14,,Reverse Holofoil,[3P] Mega Impact (70),Fx2,P-20,3,
85086,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85086_200w.jpg,3,1367,https://cpt.tcgcsv.com/L2J,2025-11-11T22:26:56.267,1,59/111,Common,Colorless,50,Basic,,"[0] Signs of Evolution - Search your deck for up to 2 cards that evolve from Eevee, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",0.8,1.24,5.99,1.43,1.44,Normal,[1] Bounce (10) Switch Eevee with 1 of your Benched Pokemon.,F+10,,1,
85086,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85086_200w.jpg,3,1367,https://cpt.tcgcsv.com/L2J,2025-11-11T22:26:56.267,1,59/111,Common,Colorless,50,Basic,,"[0] Signs of Evolution - Search your deck for up to 2 cards that evolve from Eevee, show them to your opponent, and put them into your hand.  Shuffle your deck afterward.",9.55,14.66,18.0,24.99,,Reverse Holofoil,[1] Bounce (10) Switch Eevee with 1 of your Benched Pokemon.,F+10,,1,
85166,Electrode G,Electrode G,https://tcgplayer-cdn.tcgplayer.com/product/85166_200w.jpg,3,1367,https://cpt.tcgcsv.com/l5J,2023-11-07T21:52:43.56,1,39/111,Uncommon,Lightning,70,Basic,,[L] Reckless Bomb - This attack does 20 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)  Electrode G does 100 damage to itself.,0.15,0.39,1.0,0.37,,Normal,[2] Reflect Energy (30) Move an Energy card attached to Electrode G to 1 of your Benched Pokemon.,Fx2,M-20,1,
85166,Electrode G,Electrode G,https://tcgplayer-cdn.tcgplayer.com/product/85166_200w.jpg,3,1367,https://cpt.tcgcsv.com/l5J,2023-11-07T21:52:43.56,1,39/111,Uncommon,Lightning,70,Basic,,[L] Reckless Bomb - This attack does 20 damage to each of your opponent's Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.)  Electrode G does 100 damage to itself.,0.89,2.25,5.99,1.79,,Reverse Holofoil,[2] Reflect Energy (30) Move an Energy card attached to Electrode G to 1 of your Benched Pokemon.,Fx2,M-20,1,
85330,Espeon E4,Espeon E4,https://tcgplayer-cdn.tcgplayer.com/product/85330_200w.jpg,3,1367,https://cpt.tcgcsv.com/D8J,2023-11-07T21:50:01.127,1,18/111,Rare,Psychic,80,Basic,,[1] Hypnosis - The Defending Pokemon is now Asleep.,7.61,14.39,17.98,9.74,,Normal,[1P] Psywave (20+) Does 20 damage plus 10 more damage for each Energy attached to the Defending Pokemon.,Px2,,1,
85330,Espeon E4,Espeon E4,https://tcgplayer-cdn.tcgplayer.com/product/85330_200w.jpg,3,1367,https://cpt.tcgcsv.com/D8J,2023-11-07T21:50:01.127,1,18/111,Rare,Psychic,80,Basic,,[1] Hypnosis - The Defending Pokemon is now Asleep.,14.53,14.53,14.53,22.53,,Reverse Holofoil,[1P] Psywave (20+) Does 20 damage plus 10 more damage for each Energy attached to the Defending Pokemon.,Px2,,1,
85380,Fan Rotom,Fan Rotom,https://tcgplayer-cdn.tcgplayer.com/product/85380_200w.jpg,3,1367,https://cpt.tcgcsv.com/D9J,2019-09-03T20:53:22.033,1,RT1,Ultra Rare,Lightning,70,Basic,"Fan Shift - Once during your turn (before your attack), you may use this power.  Fan Rotom's type is C until the end of your turn.  (Poke-POWER)","[2] Spin Storm - Flip a coin.  If heads, your opponent returns the Defending Pokemon and all cards attached to it to his or her hand.",14.99,19.21,22.0,25.12,,Reverse Holofoil,"[3] Air Slash (60) Flip a coin.  If tails, discard an Energy attached to Fan Rotom.",D+20,C-20,0,
85497,Flareon,Flareon,https://tcgplayer-cdn.tcgplayer.com/product/85497_200w.jpg,3,1367,https://cpt.tcgcsv.com/ZcJ,2023-11-07T21:50:08.137,1,19/111,Rare,Fire,80,Stage 1,"Undevelop - Once during your turn (before your attack), you may devolve Flareon and put Flareon into your hand.  This power can't be used if Flareon is affected by a Special Condition.  (Poke-POWER)",[1] Tail Slap (30),4.2,7.69,15.0,7.64,,Normal,"[1R] Evolving Flare (40+) If Flareon evolved from Eevee during this turn, this attack does 40 damage plus 20 more damage and the Defending Pokemon is now Burned.",W+20,,1,
85497,Flareon,Flareon,https://tcgplayer-cdn.tcgplayer.com/product/85497_200w.jpg,3,1367,https://cpt.tcgcsv.com/ZcJ,2023-11-07T21:50:08.137,1,19/111,Rare,Fire,80,Stage 1,"Undevelop - Once during your turn (before your attack), you may devolve Flareon and put Flareon into your hand.  This power can't be used if Flareon is affected by a Special Condition.  (Poke-POWER)",[1] Tail Slap (30),17.97,20.99,29.0,15.55,,Reverse Holofoil,"[1R] Evolving Flare (40+) If Flareon evolved from Eevee during this turn, this attack does 40 damage plus 20 more damage and the Defending Pokemon is now Burned.",W+20,,1,
85504,Flareon E4,Flareon E4,https://tcgplayer-cdn.tcgplayer.com/product/85504_200w.jpg,3,1367,https://cpt.tcgcsv.com/6dJ,2023-11-07T21:55:49.307,1,60/111,Common,Fire,70,Basic,,[1] Tackle (10),1.25,2.46,18.0,2.53,2.35,Normal,"[1R] Fire Tail Slap (40) Flip a coin.  If tails, discard a R Energy attached to Flareon E4.",Wx2,,1,
85504,Flareon E4,Flareon E4,https://tcgplayer-cdn.tcgplayer.com/product/85504_200w.jpg,3,1367,https://cpt.tcgcsv.com/6dJ,2023-11-07T21:55:49.307,1,60/111,Common,Fire,70,Basic,,[1] Tackle (10),22.0,35.7,96.95,41.5,29.7,Reverse Holofoil,"[1R] Fire Tail Slap (40) Flip a coin.  If tails, discard a R Energy attached to Flareon E4.",Wx2,,1,
85509,Flint's Willpower,Flints Willpower,https://tcgplayer-cdn.tcgplayer.com/product/85509_200w.jpg,3,1367,https://cpt.tcgcsv.com/cdJ,2023-11-07T22:00:10.813,1,91/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",Attach a basic Energy card from your hand to 1 of your Pokemon SP.,0.1,0.32,1.25,0.37,0.23,Normal,,,,,
85509,Flint's Willpower,Flints Willpower,https://tcgplayer-cdn.tcgplayer.com/product/85509_200w.jpg,3,1367,https://cpt.tcgcsv.com/cdJ,2023-11-07T22:00:10.813,1,91/111,Uncommon,Supporter,0,Supporter,"You can play only one Supporter each turn.  When you play this card, put it next to your Active Pokemon.  When your turn ends, discard this card.",Attach a basic Energy card from your hand to 1 of your Pokemon SP.,0.5,0.81,4.89,0.69,,Reverse Holofoil,,,,,
85517,Floatzel GL,Floatzel GL,https://tcgplayer-cdn.tcgplayer.com/product/85517_200w.jpg,3,1367,https://cpt.tcgcsv.com/mdJ,2023-11-07T21:48:13.993,1,4/111,Holo Rare,Water,80,Basic,,"[0] Incite - Search your discard pile for up to 2 Supporter cards, show them to your opponent, and put them into your hand.",3.5,7.67,96.95,5.28,9.12,Holofoil,[WW] Giant Wave (50) Floatzel GL can't use Giant Wave during your next turn.,Lx2,,1,
85517,Floatzel GL,Floatzel GL,https://tcgplayer-cdn.tcgplayer.com/product/85517_200w.jpg,3,1367,https://cpt.tcgcsv.com/mdJ,2023-11-07T21:48:13.993,1,4/111,Holo Rare,Water,80,Basic,,"[0] Incite - Search your discard pile for up to 2 Supporter cards, show them to your opponent, and put them into your hand.",4.0,6.98,10.6,6.98,,Reverse Holofoil,[WW] Giant Wave (50) Floatzel GL can't use Giant Wave during your next turn.,Lx2,,1,
85518,Floatzel GL Lv.X,Floatzel GL LvX,https://tcgplayer-cdn.tcgplayer.com/product/85518_200w.jpg,3,1367,https://cpt.tcgcsv.com/ndJ,2023-11-07T22:05:16.07,1,104/111,Ultra Rare,Water,100,Level Up,"Water Rescue - Whenever any of your W Pokemon (excluding Floatzel GL) is Knocked Out by damage from your opponent's attack, you may put that Pokemon and all cards that were attached to it from your discard pile into your hand.  (Poke-BODY)",[WW] Water Cyclone (20x) Choose as many Energy cards from your hand as you like and show them to your opponent.  This attack does 20 damage times the number of Energy cards you chose.  Put those Energy cards on top of your deck.  Shuffle your deck afterward.,50.0,85.49,100.0,49.99,,Holofoil,,Lx2,,0,
85526,Flygon,Flygon,https://tcgplayer-cdn.tcgplayer.com/product/85526_200w.jpg,3,1367,https://cpt.tcgcsv.com/xdJ,2023-11-07T21:48:21.8,1,5/111,Holo Rare,Colorless,120,Stage 2,"Rainbow Float - If any basic Energy card attached to Flygon is the same type as any of your Pokemon, the Retreat Cost for those Pokemon is 0.  (Poke-BODY)","[2] Sand Wall (40) Discard a Stadium card your opponent has in play.  If you do, prevent all effects of an attack, including damage, done to Flygon during your opponent's next turn.",7.99,11.22,19.18,17.84,,Holofoil,[3] Power Swing (60+) Does 60 damage plus 10 more damage for each Evolved Pokemon on your Bench.,C+30,L-20,0,
85526,Flygon,Flygon,https://tcgplayer-cdn.tcgplayer.com/product/85526_200w.jpg,3,1367,https://cpt.tcgcsv.com/xdJ,2023-11-07T21:48:21.8,1,5/111,Holo Rare,Colorless,120,Stage 2,"Rainbow Float - If any basic Energy card attached to Flygon is the same type as any of your Pokemon, the Retreat Cost for those Pokemon is 0.  (Poke-BODY)","[2] Sand Wall (40) Discard a Stadium card your opponent has in play.  If you do, prevent all effects of an attack, including damage, done to Flygon during your opponent's next turn.",11.99,18.5,26.21,16.0,,Reverse Holofoil,[3] Power Swing (60+) Does 60 damage plus 10 more damage for each Evolved Pokemon on your Bench.,C+30,L-20,0,
85533,Flygon Lv.X,Flygon LvX,https://tcgplayer-cdn.tcgplayer.com/product/85533_200w.jpg,3,1367,https://cpt.tcgcsv.com/HdJ,2023-11-07T22:05:23.667,1,105/111,Ultra Rare,Colorless,140,Level Up,"Wind Erosion - As long as Flygon is your Active Pokemon, discard the top card from your opponent's deck between turns.  (Poke-BODY)",[3] Extreme Attack - Choose 1 of your opponent's Pokemon LV.X.  This attack does 150 damage to that Pokemon.  (Don't apply Weakness and Resistance for Benched Pokemon.),55.0,75.51,99.66,116.52,,Holofoil,,Cx2,L-20,0,
