productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extCardText,extAttack2
86982,Machoke,Machoke,https://tcgplayer-cdn.tcgplayer.com/product/86982_200w.jpg,3,1541,https://cpt.tcgcsv.com/GPJ,2024-10-02T11:20:44.933,1,4/11,Common,Fighting,80,Stage 1,"[1F] Karate Chop (40-) 
<br>Does 40 minus 10 damage for each damage counter on Machoke.",P+20,None,2,0.15,0.4,1.22,0.63,,Normal,,[1FF] Seismic Toss (60)
86996,Machop,Machop,https://tcgplayer-cdn.tcgplayer.com/product/86996_200w.jpg,3,1541,https://cpt.tcgcsv.com/XPJ,2024-07-29T12:08:32.467,1,5/11,Common,Fighting,60,Basic,[F] Low Kick (20),P+10,None,2,0.09,0.25,1.39,0.3,,Normal,,
87145,Manaphy,Manaphy,https://tcgplayer-cdn.tcgplayer.com/product/87145_200w.jpg,3,1541,https://cpt.tcgcsv.com/WSJ,2023-12-21T20:27:57.743,1,4/12,Common,Water,70,Basic,"[1] Call for Family 
<br>Search your deck for a Basic Pokemon and put it onto your Bench.  Shuffle your deck afterward.",L+20,None,1,1.0,1.62,7.35,2.0,,Holofoil,,"[WW] Aqua Ring (30) 
<br>Switch Manaphy with 1 of your Benched Pokemon."
88144,Piplup,Piplup,https://tcgplayer-cdn.tcgplayer.com/product/88144_200w.jpg,3,1541,https://cpt.tcgcsv.com/VgK,2023-12-21T20:28:11.227,1,5/12,Common,Water,60,Basic,[0] Peck (10),L+10,None,1,0.15,0.35,1.96,0.55,,Normal,,"[1W] Water Splash (20+) 
<br>Flip a coin.  If heads, this attack does 20 damage plus 10 more damage."
88344,Potion (Manaphy),Potion Manaphy,https://tcgplayer-cdn.tcgplayer.com/product/88344_200w.jpg,3,1541,https://cpt.tcgcsv.com/VlK,2023-12-21T20:30:09.153,1,11/12,Common,Item,,,,,,,0.05,0.27,1.99,0.4,,Normal,"<em>Remove 2 damage counters from 1 of your Pokemon (remove 1 damage counter if that Pokemon has only 1).
<br>
<br><b>(Outdated Text, reference latest Printing)",
88345,Potion (Lucario),Potion Lucario,https://tcgplayer-cdn.tcgplayer.com/product/88345_200w.jpg,3,1541,https://cpt.tcgcsv.com/WlK,2023-12-21T20:29:29.237,1,9/12,Common,Item,,,,,,,0.05,0.26,3.49,0.29,,Normal,"<em>Remove 2 damage counters from 1 of your Pokemon (remove 1 damage counter if that Pokemon has only 1).
<br>
<br><b>(Outdated text, reference latest Printing.)</em></b>",
88369,Prinplup,Prinplup,https://tcgplayer-cdn.tcgplayer.com/product/88369_200w.jpg,3,1541,https://cpt.tcgcsv.com/pmK,2023-12-21T20:28:18.033,1,6/12,Common,Water,80,Stage 1,"[W] Aqua Shower 
<br>Does 10 damage to each of your opponent's Pokemon. <i> (Don't apply Weakness and Resistance for Benched Pokemon.)</i>",L+20,None,1,0.25,0.43,5.32,0.39,,Normal,,"[WW] Brine 
<Br>Choose 1 of your opponent's Pokemon that has any damage counters on it.  This attack does 40 damage to that Pokemon.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>"
88478,Quick Ball,Quick Ball,https://tcgplayer-cdn.tcgplayer.com/product/88478_200w.jpg,3,1541,https://cpt.tcgcsv.com/BpK,2024-06-18T11:14:55.253,1,10/11,Common,Item,,,,,,,0.25,0.8,3.34,1.49,,Normal,"Reveal cards from your deck until you reveal a Pokemon.  Show that Pokemon to your opponent and put it into your hand.  Shuffle the other revealed cards back into your deck.  (If you don't reveal a Pokemon, shuffle all the revealed cards back into your deck.)",
88753,Riolu,Riolu,https://tcgplayer-cdn.tcgplayer.com/product/88753_200w.jpg,3,1541,https://cpt.tcgcsv.com/5wK,2023-12-21T20:28:35.167,1,6/12,Common,Fighting,60,Basic,"[F] Wild Kick (30) 
<br>Flip a coin.  If tails, this attack does nothing.",P+10,None,1,0.15,0.4,3.49,0.77,,Normal,,
89027,Seaking,Seaking,https://tcgplayer-cdn.tcgplayer.com/product/89027_200w.jpg,3,1541,https://cpt.tcgcsv.com/zDK,2023-12-21T20:28:57.893,1,7/12,Common,Water,80,Stage 1,"[2] Flail (10x) 
<br>Does 10 damage times the number of damage counters on Seaking.",L+20,None,1,0.2,0.32,1.58,0.32,,Normal,,[WW] Horn Drill (50)
89522,Starly,Starly,https://tcgplayer-cdn.tcgplayer.com/product/89522_200w.jpg,3,1541,https://cpt.tcgcsv.com/sQK,2024-07-22T11:30:08.807,1,7/11,Common,Colorless,50,Basic,[1] Gust (10),L+10,F-20,1,0.1,0.25,3.49,0.29,,Normal,,"[2] Quick Attack (10+) 
<br>Flip a coin.  If heads, this attack does 10 damage plus 20 more damage."
89999,Totodile,Totodile,https://tcgplayer-cdn.tcgplayer.com/product/89999_200w.jpg,3,1541,https://cpt.tcgcsv.com/__K,2023-12-21T20:29:17.517,1,8/12,Common,Water,50,Basic,[0] Bite (10),L+10,None,1,0.71,0.91,2.44,1.51,,Normal,,"[W] Shining Fang (10+) 
<br>If the Defending Pokemon already has any damage counters on it, this attack does 10 damage plus 10 more damage."
90511,Water Energy,Water Energy,https://tcgplayer-cdn.tcgplayer.com/product/90511_200w.jpg,3,1541,https://cpt.tcgcsv.com/fdL,2023-12-21T20:30:27.807,1,12/12,Common,Basic Water Energy,,,,,,,0.01,0.38,1.28,0.66,,Normal,,
98949,DP Trainer Kit [Manaphy & Lucario],DP Trainer Kit Manaphy and Lucario,https://tcgplayer-cdn.tcgplayer.com/product/98949_200w.jpg,3,1541,https://cpt.tcgcsv.com/_BP,2015-05-20T18:36:46.47,1,,,,,,,,,,,,,,,,,
