productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extAttack1,extWeakness,extRetreatCost,extCardText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extResistance
215154,Pikachu (Italian),Pikachu Italian,https://tcgplayer-cdn.tcgplayer.com/product/215154_200w.jpg,3,2205,https://cpt.tcgcsv.com/65L2,2020-05-29T21:45:05.26,1,PW 2,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in Italian.</span></em>",95.6,495.88,896.15,99.0,,Holofoil,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215155,Pikachu (Korean),Pikachu Korean,https://tcgplayer-cdn.tcgplayer.com/product/215155_200w.jpg,3,2205,https://cpt.tcgcsv.com/75L2,2020-05-29T21:45:56.81,1,PW 3,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in Korean.</span></em>",74.95,74.95,74.95,99.5,,Holofoil,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215156,Pikachu (Spanish),Pikachu Spanish,https://tcgplayer-cdn.tcgplayer.com/product/215156_200w.jpg,3,2205,https://cpt.tcgcsv.com/85L2,2020-05-29T21:46:58.197,1,PW 4,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in Spanish.</span></em>",,,,,,,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215157,Pikachu (Japanese),Pikachu Japanese,https://tcgplayer-cdn.tcgplayer.com/product/215157_200w.jpg,3,2205,https://cpt.tcgcsv.com/95L2,2020-05-29T21:48:16.253,1,PW 5,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in Japanese.</span></em>",45.24,45.24,45.24,99.0,,Holofoil,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215158,Pikachu (German),Pikachu German,https://tcgplayer-cdn.tcgplayer.com/product/215158_200w.jpg,3,2205,https://cpt.tcgcsv.com/b5L2,2020-05-29T21:48:27.957,1,PW 6,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in German.</span></em>",89.93,90.22,90.5,89.95,,Holofoil,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215159,Pikachu (French),Pikachu French,https://tcgplayer-cdn.tcgplayer.com/product/215159_200w.jpg,3,2205,https://cpt.tcgcsv.com/c5L2,2020-05-29T21:49:03.627,1,PW 7,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in French.</span></em>",100.25,100.25,120.0,110.98,,Holofoil,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215160,Pikachu (Polish),Pikachu Polish,https://tcgplayer-cdn.tcgplayer.com/product/215160_200w.jpg,3,2205,https://cpt.tcgcsv.com/d5L2,2020-05-29T21:49:51.973,1,PW 8,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in Polish.</span></em>",,,,,,,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215161,Pikachu (Portuguese),Pikachu Portuguese,https://tcgplayer-cdn.tcgplayer.com/product/215161_200w.jpg,3,2205,https://cpt.tcgcsv.com/f5L2,2020-05-29T21:50:31.53,1,PW 9,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in Portuguese.</span></em>",,,,,,,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215162,Pikachu World Collection Promo Set (2010),Pikachu World Collection Promo Set 2010,https://tcgplayer-cdn.tcgplayer.com/product/215162_200w.jpg,3,2205,https://cpt.tcgcsv.com/g5L2,2020-05-29T22:01:28.757,1,,,,,,,,,"This sealed product contains 9 promotional cards of Pikachu, printed in various languages.",,,,,,,,
215163,Pikachu (Japanese) (Green),Pikachu Japanese Green,https://tcgplayer-cdn.tcgplayer.com/product/215163_200w.jpg,3,2205,https://cpt.tcgcsv.com/h5L2,2020-05-29T22:11:21.75,1,PW 5,Promo,Lightning,50,Basic,"[1] Hello!
<br>Greet your opponent. Then, each player draws a card.",Fx2,1,"<em><span style=""color:red"">This promotional card is printed in Japanese.</span></em>
<br><em>The green background variant could be found only in Pokémon Centers and 7-11 stores.</em>",,,,,,,"[1LL] Thunderbolt: (60)
Discard all Energy attached to Pikachu.",M-20
215164,Pikachu World Collection Promo Set (2010) (Green),Pikachu World Collection Promo Set 2010 Green,https://tcgplayer-cdn.tcgplayer.com/product/215164_200w.jpg,3,2205,https://cpt.tcgcsv.com/j5L2,2020-05-29T22:10:25.88,1,,,,,,,,,"This sealed product contains 9 promotional cards of Pikachu, printed in various languages. <em>The green background variant could be found only in Pokémon Centers and 7-11 stores.</em>",,,,,,,,
