productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extNumber,extRarity,extCardType,extHP,extStage,extCardText,extAttack1,extWeakness,extResistance,extRetreatCost,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extAttack2,extAttack3,extAttack4
83926,Blissey ex,Blissey ex,https://tcgplayer-cdn.tcgplayer.com/product/83926_200w.jpg,3,1398,https://cpt.tcgcsv.com/xBH,2021-08-03T20:11:46.447,1,101/115,Ultra Rare,Colorless,160,Stage 1,"<b>Poke-POWER</b>Blissful Support 
<br>Once during your turn, when you play Blissey ex from your hand to evolve 1 of your Pokemon, you may discard all Energy cards attached to any number of your Pokemon and remove all damage counters from those Pokemon.","[1] Energy Absorption 
<br>Attach up to 3 Energy cards from your discard pile to Blissey ex.",F,None,1,110.0,139.99,141.16,144.98,,Holofoil,[4] Rollout (60),,
83939,Boost Energy,Boost Energy,https://tcgplayer-cdn.tcgplayer.com/product/83939_200w.jpg,3,1398,https://cpt.tcgcsv.com/PBH,2021-08-03T20:11:54.407,1,98/115,Uncommon,Special Energy,,,"Boost Energy can be attached only to an Evolved Pokemon.  Discard Boost Energy at the end of the turn it was attached.  
<br>Boost Energy provides 3 Colorless Energy.  The Pokemon Boost Energy is attached to can't retreat.  If the Pokemon Boost Energy is attached to isn't an Evolved Pokemon, discard Boost Energy.",,,,,0.75,1.0,1.99,0.95,1.01,Normal,,,
83939,Boost Energy,Boost Energy,https://tcgplayer-cdn.tcgplayer.com/product/83939_200w.jpg,3,1398,https://cpt.tcgcsv.com/PBH,2021-08-03T20:11:54.407,1,98/115,Uncommon,Special Energy,,,"Boost Energy can be attached only to an Evolved Pokemon.  Discard Boost Energy at the end of the turn it was attached.  
<br>Boost Energy provides 3 Colorless Energy.  The Pokemon Boost Energy is attached to can't retreat.  If the Pokemon Boost Energy is attached to isn't an Evolved Pokemon, discard Boost Energy.",,,,,5.36,22.67,39.98,7.69,,Reverse Holofoil,,,
84150,Celebi ex,Celebi ex,https://tcgplayer-cdn.tcgplayer.com/product/84150_200w.jpg,3,1398,https://cpt.tcgcsv.com/0HH,2021-08-03T20:12:10.197,1,117/115,Secret Rare,Grass,70,Basic,,"[G] Spiral Leaf  
<br>Flip a coin.  If heads, put 1 damage counter on each of your opponent's Pokemon.  If tails, remove 1 damage counter from each of your Pokemon.",R,,1,250.0,345.0,439.99,499.99,,Holofoil,"[1G] Time Trap (30) 
<br>Flip a coin.  If heads, look at the top 4 cards of your opponent's deck, and put them back on top of your opponent's deck in any order.  If tails, look at the top 4 cards of your deck, and put them back on top of your deck in any order.",,
84174,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/84174_200w.jpg,3,1398,https://cpt.tcgcsv.com/vHH,2021-08-03T20:12:17.65,1,20/115,Rare,Colorless,90,Basic,,"[1] Hyper Healing 
<br>Remove 1 damage counter and all Special Conditions from each of your Active Pokemon.",F,None,2,2.0,3.8,7.09,2.67,,Normal,"[2] Double Tackle 
<br>Does 20 damage to each Defending Pokemon.",,
84174,Chansey,Chansey,https://tcgplayer-cdn.tcgplayer.com/product/84174_200w.jpg,3,1398,https://cpt.tcgcsv.com/vHH,2021-08-03T20:12:17.65,1,20/115,Rare,Colorless,90,Basic,,"[1] Hyper Healing 
<br>Remove 1 damage counter and all Special Conditions from each of your Active Pokemon.",F,None,2,10.75,19.94,29.13,49.99,,Reverse Holofoil,"[2] Double Tackle 
<br>Does 20 damage to each Defending Pokemon.",,
84277,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/84277_200w.jpg,3,1398,https://cpt.tcgcsv.com/zKH,2021-10-21T15:40:20.183,1,51/115,Common,Grass,50,Basic,,[1] Headbutt (10),R,W,1,0.17,0.5,2.99,0.6,,Normal,[1G] Razor Leaf (20),,
84277,Chikorita,Chikorita,https://tcgplayer-cdn.tcgplayer.com/product/84277_200w.jpg,3,1398,https://cpt.tcgcsv.com/zKH,2021-10-21T15:40:20.183,1,51/115,Common,Grass,50,Basic,,[1] Headbutt (10),R,W,1,8.95,9.9,60.0,22.4,,Reverse Holofoil,[1G] Razor Leaf (20),,
84305,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84305_200w.jpg,3,1398,https://cpt.tcgcsv.com/7LH,2022-04-18T11:25:03.387,1,52/115,Common,Lightning,50,Basic,,"[1] Thunder Wave 
<br>Flip a coin.  If the Defending Pokemon is now Paralyzed.",F,None,1,0.05,0.37,5.0,0.37,,Normal,[L] Razor Fin (10),,
84305,Chinchou,Chinchou,https://tcgplayer-cdn.tcgplayer.com/product/84305_200w.jpg,3,1398,https://cpt.tcgcsv.com/7LH,2022-04-18T11:25:03.387,1,52/115,Common,Lightning,50,Basic,,"[1] Thunder Wave 
<br>Flip a coin.  If the Defending Pokemon is now Paralyzed.",F,None,1,15.11,17.99,22.29,9.86,,Reverse Holofoil,[L] Razor Fin (10),,
84345,Clefable,Clefable,https://tcgplayer-cdn.tcgplayer.com/product/84345_200w.jpg,3,1398,https://cpt.tcgcsv.com/WLH,2021-08-03T20:13:37.91,1,36/115,Uncommon,Colorless,80,Stage 1,,"[1] Shining Fingers (10) 
<br>The Defending Pokemon is now Asleep.",F,None,1,0.5,1.0,5.0,0.89,,Normal,"[2] Extra Comet Punch (30+) 
<br>During your next turn, Extra Comet Punch does 30 damage plus 30 more damage.",,
84345,Clefable,Clefable,https://tcgplayer-cdn.tcgplayer.com/product/84345_200w.jpg,3,1398,https://cpt.tcgcsv.com/WLH,2021-08-03T20:13:37.91,1,36/115,Uncommon,Colorless,80,Stage 1,,"[1] Shining Fingers (10) 
<br>The Defending Pokemon is now Asleep.",F,None,1,48.0,63.99,64.0,30.43,,Reverse Holofoil,"[2] Extra Comet Punch (30+) 
<br>During your next turn, Extra Comet Punch does 30 damage plus 30 more damage.",,
84355,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84355_200w.jpg,3,1398,https://cpt.tcgcsv.com/7MH,2025-11-20T03:40:45.533,1,53/115,Common,Colorless,50,Basic,,[1] Pound (10),F,None,1,0.3,0.5,2.99,0.68,0.39,Normal,"[2] Lullaby (10) 
<br>The Defending Pokemon is now Asleep.",,
84355,Clefairy,Clefairy,https://tcgplayer-cdn.tcgplayer.com/product/84355_200w.jpg,3,1398,https://cpt.tcgcsv.com/7MH,2025-11-20T03:40:45.533,1,53/115,Common,Colorless,50,Basic,,[1] Pound (10),F,None,1,24.56,50.0,96.95,27.73,96.95,Reverse Holofoil,"[2] Lullaby (10) 
<br>The Defending Pokemon is now Asleep.",,
84365,Cleffa,Cleffa,https://tcgplayer-cdn.tcgplayer.com/product/84365_200w.jpg,3,1398,https://cpt.tcgcsv.com/kMH,2026-02-17T17:14:47.18,1,21/115,Rare,Colorless,50,Basic,"<b>Poke-POWER</b> Baby Evolution 
<br>Once during your turn <em>(before your attack)</em>, you may put Clefairy from your hand onto Cleffa <em>(this counts as evolving Cleffa)</em> and remove all damage counters from Cleffa.","[1] Eeeeeeek 
<br>Shuffle your hand into your deck, then draw 6 cards.",F,None,1,28.64,29.95,33.5,14.12,,Normal,,,
84365,Cleffa,Cleffa,https://tcgplayer-cdn.tcgplayer.com/product/84365_200w.jpg,3,1398,https://cpt.tcgcsv.com/kMH,2026-02-17T17:14:47.18,1,21/115,Rare,Colorless,50,Basic,"<b>Poke-POWER</b> Baby Evolution 
<br>Once during your turn <em>(before your attack)</em>, you may put Clefairy from your hand onto Cleffa <em>(this counts as evolving Cleffa)</em> and remove all damage counters from Cleffa.","[1] Eeeeeeek 
<br>Shuffle your hand into your deck, then draw 6 cards.",F,None,1,44.0,75.0,82.0,61.53,,Reverse Holofoil,,,
84440,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84440_200w.jpg,3,1398,https://cpt.tcgcsv.com/QNH,2021-08-03T20:14:49.873,1,37/115,Uncommon,Water,60,Basic,,"[1] Cry for Help -
<br>Search your deck for a Water or Fighting Pokemon <i>(excluding Pokemon-ex)</i>, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",G,None,1,2.0,2.0,9.99,1.67,,Normal,"[W] Double Attack 
<br>Choose 2 of your opponent's Benched Pokemon.  This attack does 10 damage to each of them.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,
84440,Corsola,Corsola,https://tcgplayer-cdn.tcgplayer.com/product/84440_200w.jpg,3,1398,https://cpt.tcgcsv.com/QNH,2021-08-03T20:14:49.873,1,37/115,Uncommon,Water,60,Basic,,"[1] Cry for Help -
<br>Search your deck for a Water or Fighting Pokemon <i>(excluding Pokemon-ex)</i>, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",G,None,1,22.11,29.98,29.99,17.52,,Reverse Holofoil,"[W] Double Attack 
<br>Choose 2 of your opponent's Benched Pokemon.  This attack does 10 damage to each of them.  <i>(Don't apply Weakness and Resistance for Benched Pokemon.)</i>",,
84498,Croconaw,Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84498_200w.jpg,3,1398,https://cpt.tcgcsv.com/-PH,2026-02-17T17:49:22.363,1,38/115,Uncommon,Water,80,Stage 1,,[2] Bite (20),L,None,2,0.8,1.21,11.01,1.65,,Normal,"[1WW] Aqua Sonic (50) 
<br>This attack's damage isn't affected by Resistance.",,
84498,Croconaw,Croconaw,https://tcgplayer-cdn.tcgplayer.com/product/84498_200w.jpg,3,1398,https://cpt.tcgcsv.com/-PH,2026-02-17T17:49:22.363,1,38/115,Uncommon,Water,80,Stage 1,,[2] Bite (20),L,None,2,100.0,226.18,352.35,21.33,,Reverse Holofoil,"[1WW] Aqua Sonic (50) 
<br>This attack's damage isn't affected by Resistance.",,
84537,Curse Powder,Curse Powder,https://tcgplayer-cdn.tcgplayer.com/product/84537_200w.jpg,3,1398,https://cpt.tcgcsv.com/MQH,2021-08-03T20:15:01.313,1,80/115,Uncommon,Tool,,,"Attach Curse Powder to 1 of your Evolved Pokemon <em>(excluding Pokemon-ex)</em> that doesn't already have a Pokemon Tool attached to it.  If the Pokemon Curse Powder is attached to is a Basic Pokemon or Pokemon-ex, discard Curse Powder.
<br>
<br>
<br>If the Pokemon that Curse Powder is attached to is Knocked Out by damage from an opponent's attack, put 3 damage counters on the Attacking Pokemon.",,,,,0.3,0.62,4.19,0.63,,Normal,,,
84537,Curse Powder,Curse Powder,https://tcgplayer-cdn.tcgplayer.com/product/84537_200w.jpg,3,1398,https://cpt.tcgcsv.com/MQH,2021-08-03T20:15:01.313,1,80/115,Uncommon,Tool,,,"Attach Curse Powder to 1 of your Evolved Pokemon <em>(excluding Pokemon-ex)</em> that doesn't already have a Pokemon Tool attached to it.  If the Pokemon Curse Powder is attached to is a Basic Pokemon or Pokemon-ex, discard Curse Powder.
<br>
<br>
<br>If the Pokemon that Curse Powder is attached to is Knocked Out by damage from an opponent's attack, put 3 damage counters on the Attacking Pokemon.",,,,,2.25,4.67,7.99,4.5,,Reverse Holofoil,,,
84540,Cyclone Energy,Cyclone Energy,https://tcgplayer-cdn.tcgplayer.com/product/84540_200w.jpg,3,1398,https://cpt.tcgcsv.com/QQH,2023-01-03T15:29:08.62,1,99/115,Uncommon,Special Energy,,,"Cyclone Energy provides Colorless Energy.  When you attach this card from your hand to your Active Pokemon, switch 1 of the Defending Pokemon with 1 of your opponent's Benched Pokemon.  Your opponent chooses the Benched Pokemon to switch.",,,,,0.25,0.9,3.49,0.78,,Normal,,,
84540,Cyclone Energy,Cyclone Energy,https://tcgplayer-cdn.tcgplayer.com/product/84540_200w.jpg,3,1398,https://cpt.tcgcsv.com/QQH,2023-01-03T15:29:08.62,1,99/115,Uncommon,Special Energy,,,"Cyclone Energy provides Colorless Energy.  When you attach this card from your hand to your Active Pokemon, switch 1 of the Defending Pokemon with 1 of your opponent's Benched Pokemon.  Your opponent chooses the Benched Pokemon to switch.",,,,,5.0,9.5,11.0,11.82,,Reverse Holofoil,,,
84550,Cyndaquil,Cyndaquil,https://tcgplayer-cdn.tcgplayer.com/product/84550_200w.jpg,3,1398,https://cpt.tcgcsv.com/0RH,2026-02-17T17:48:10.067,1,54/115,Common,Fire,50,Basic,,"[1] Paralyzing Gaze 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",W,,1,0.25,0.9,5.38,1.45,,Normal,"[1R] Fireworks (30) 
<br>Flip a coin.  If tails, discard a Fire Energy card attached to Cyndaquil.",,
84550,Cyndaquil,Cyndaquil,https://tcgplayer-cdn.tcgplayer.com/product/84550_200w.jpg,3,1398,https://cpt.tcgcsv.com/0RH,2026-02-17T17:48:10.067,1,54/115,Common,Fire,50,Basic,,"[1] Paralyzing Gaze 
<br>Flip a coin.  If heads, the Defending Pokemon is now Paralyzed.",W,,1,14.0,20.0,22.99,29.81,,Reverse Holofoil,"[1R] Fireworks (30) 
<br>Flip a coin.  If tails, discard a Fire Energy card attached to Cyndaquil.",,
84685,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84685_200w.jpg,3,1398,https://cpt.tcgcsv.com/KTH,2025-11-20T03:41:27.413,1,96/115,Rare,Special Energy,,,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon <em>(before applying Weakness and Resistance)</em>.  Ignore this effect unless the Attacking Pokemon is Darkness or has Dark in its name.  Darkness Energy provides Darkness energy.  <em>(Doesn't count as a basic Energy card.)</em>",,,,,0.7,1.45,7.99,1.59,7.99,Normal,,,
84685,Darkness Energy (Special),Darkness Energy Special,https://tcgplayer-cdn.tcgplayer.com/product/84685_200w.jpg,3,1398,https://cpt.tcgcsv.com/KTH,2025-11-20T03:41:27.413,1,96/115,Rare,Special Energy,,,"If the Pokemon Darkness Energy is attached to attacks, the attack does 10 more damage to the Active Pokemon <em>(before applying Weakness and Resistance)</em>.  Ignore this effect unless the Attacking Pokemon is Darkness or has Dark in its name.  Darkness Energy provides Darkness energy.  <em>(Doesn't count as a basic Energy card.)</em>",,,,,7.0,8.0,19.99,15.09,,Reverse Holofoil,,,
85081,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85081_200w.jpg,3,1398,https://cpt.tcgcsv.com/F2J,2021-08-03T20:15:24.36,1,55/115,Common,Colorless,40,Basic,"<b>Poke-POWER</b> Energy Evolution 
<br>Whenever you attach an Energy card from your hand to Eevee, you may search your deck for a card that evolves from Eevee that is the same type as the Energy card you attached to Eevee.  Put that card onto Eevee.  <em>(This counts as evolving Eevee.)</em>  Shuffle your deck afterward.  This power can't be used when you attach an Energy card to Eevee as part of an attack's effect.",[1] Tail Whap (10),F,None,1,3.44,5.0,210.0,4.91,,Normal,,,
85081,Eevee,Eevee,https://tcgplayer-cdn.tcgplayer.com/product/85081_200w.jpg,3,1398,https://cpt.tcgcsv.com/F2J,2021-08-03T20:15:24.36,1,55/115,Common,Colorless,40,Basic,"<b>Poke-POWER</b> Energy Evolution 
<br>Whenever you attach an Energy card from your hand to Eevee, you may search your deck for a card that evolves from Eevee that is the same type as the Energy card you attached to Eevee.  Put that card onto Eevee.  <em>(This counts as evolving Eevee.)</em>  Shuffle your deck afterward.  This power can't be used when you attach an Energy card to Eevee as part of an attack's effect.",[1] Tail Whap (10),F,None,1,140.0,146.66,211.07,44.5,,Reverse Holofoil,,,
85113,Electabuzz,Electabuzz,https://tcgplayer-cdn.tcgplayer.com/product/85113_200w.jpg,3,1398,https://cpt.tcgcsv.com/h3J,2021-08-03T20:15:31.757,1,22/115,Rare,Lightning,70,Basic,"<b>Poke-BODY</b> Stages of Evolution 
<br>As long as Electabuzz is an Evolved Pokemon, any damage done to Electabuzz by attacks from your opponent's Pokemon that has any Special Energy cards attached to it is reduced by 40 <em>(after applying Weakness and Resistance).  </em>","[1L] Double Shock (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.  If either of the coins is heads, the Defending Pokemon is now Paralyzed.",F,None,1,0.65,1.15,3.5,1.26,,Normal,"[3L] Luster Blast (70) 
<br>Discard 3 Energy attached to Electabuzz.",,
85113,Electabuzz,Electabuzz,https://tcgplayer-cdn.tcgplayer.com/product/85113_200w.jpg,3,1398,https://cpt.tcgcsv.com/h3J,2021-08-03T20:15:31.757,1,22/115,Rare,Lightning,70,Basic,"<b>Poke-BODY</b> Stages of Evolution 
<br>As long as Electabuzz is an Evolved Pokemon, any damage done to Electabuzz by attacks from your opponent's Pokemon that has any Special Energy cards attached to it is reduced by 40 <em>(after applying Weakness and Resistance).  </em>","[1L] Double Shock (10x) 
<br>Flip 2 coins.  This attack does 10 damage times the number of heads.  If either of the coins is heads, the Defending Pokemon is now Paralyzed.",F,None,1,32.75,34.99,37.13,52.49,,Reverse Holofoil,"[3L] Luster Blast (70) 
<br>Discard 3 Energy attached to Electabuzz.",,
85170,Elekid,Elekid,https://tcgplayer-cdn.tcgplayer.com/product/85170_200w.jpg,3,1398,https://cpt.tcgcsv.com/q5J,2026-02-13T15:55:43.457,1,23/115,Rare,Lightning,50,Basic,"<b>Poke-POWER</b> Baby Evolution  
<br>Once during your turn <em>(before your attack)</em>, you may put Electabuzz from your hand onto Elekid <em>(this counts as evolving Elekid)</em> and remove all damage counters from Elekid.","[1] Magnetic Trip (10) 
<br>If Low Pressure System is in play, the Defending Pokemon is now Confused.",F,None,1,12.95,23.49,24.81,7.81,,Normal,,,
85170,Elekid,Elekid,https://tcgplayer-cdn.tcgplayer.com/product/85170_200w.jpg,3,1398,https://cpt.tcgcsv.com/q5J,2026-02-13T15:55:43.457,1,23/115,Rare,Lightning,50,Basic,"<b>Poke-POWER</b> Baby Evolution  
<br>Once during your turn <em>(before your attack)</em>, you may put Electabuzz from your hand onto Elekid <em>(this counts as evolving Elekid)</em> and remove all damage counters from Elekid.","[1] Magnetic Trip (10) 
<br>If Low Pressure System is in play, the Defending Pokemon is now Confused.",F,None,1,49.95,100.17,125.19,25.6,100.17,Reverse Holofoil,,,
85217,Energy Recycle System,Energy Recycle System,https://tcgplayer-cdn.tcgplayer.com/product/85217_200w.jpg,3,1398,https://cpt.tcgcsv.com/m6J,2021-08-03T20:15:45.467,1,81/115,Uncommon,Item,,,"Search your discard pile for basic Energy cards.  You may either show 1 basic Energy card to your opponent and put it into your hand, or show 3 basic Energy cards to your opponent and shuffle them into your deck.",,,,,0.25,0.51,3.49,0.49,,Normal,,,
85217,Energy Recycle System,Energy Recycle System,https://tcgplayer-cdn.tcgplayer.com/product/85217_200w.jpg,3,1398,https://cpt.tcgcsv.com/m6J,2021-08-03T20:15:45.467,1,81/115,Uncommon,Item,,,"Search your discard pile for basic Energy cards.  You may either show 1 basic Energy card to your opponent and put it into your hand, or show 3 basic Energy cards to your opponent and shuffle them into your deck.",,,,,2.79,3.8,18.5,3.45,,Reverse Holofoil,,,
85223,Energy Removal 2,Energy Removal 2,https://tcgplayer-cdn.tcgplayer.com/product/85223_200w.jpg,3,1398,https://cpt.tcgcsv.com/t6J,2022-06-30T20:07:27.737,1,82/115,Uncommon,Item,,,"Flip a coin.  If heads, choose 1 Energy card attached to 1 of your opponent's Pokemon and discard it.",,,,,0.19,0.41,1.99,0.41,,Normal,,,
85223,Energy Removal 2,Energy Removal 2,https://tcgplayer-cdn.tcgplayer.com/product/85223_200w.jpg,3,1398,https://cpt.tcgcsv.com/t6J,2022-06-30T20:07:27.737,1,82/115,Uncommon,Item,,,"Flip a coin.  If heads, choose 1 Energy card attached to 1 of your opponent's Pokemon and discard it.",,,,,2.4,4.26,8.0,4.2,,Reverse Holofoil,,,
85235,Energy Root,Energy Root,https://tcgplayer-cdn.tcgplayer.com/product/85235_200w.jpg,3,1398,https://cpt.tcgcsv.com/K6J,2021-08-03T20:15:56.313,1,83/115,Uncommon,Tool,,,"Attach Energy Root to 1 of your Pokemon <em>(excluding Pokemon-ex and Pokemon that has Dark or an owner in its name)</em> that doesn't already have a Pokemon Tool attached to it.  If the Pokemon Energy Root is attached to is Pokemon-ex or has Dark or an owner in its name, discard Energy Root.
<br>
<br>
<br>As long as Energy Root is attached to a Pokemon, that Pokemon gets +20 HP and can't use any Poke-Powers or Poke-Bodies.",,,,,0.5,0.97,3.49,0.97,,Normal,,,
85235,Energy Root,Energy Root,https://tcgplayer-cdn.tcgplayer.com/product/85235_200w.jpg,3,1398,https://cpt.tcgcsv.com/K6J,2021-08-03T20:15:56.313,1,83/115,Uncommon,Tool,,,"Attach Energy Root to 1 of your Pokemon <em>(excluding Pokemon-ex and Pokemon that has Dark or an owner in its name)</em> that doesn't already have a Pokemon Tool attached to it.  If the Pokemon Energy Root is attached to is Pokemon-ex or has Dark or an owner in its name, discard Energy Root.
<br>
<br>
<br>As long as Energy Root is attached to a Pokemon, that Pokemon gets +20 HP and can't use any Poke-Powers or Poke-Bodies.",,,,,2.4,5.59,11.9,3.84,,Reverse Holofoil,,,
85241,Energy Search,Energy Search,https://tcgplayer-cdn.tcgplayer.com/product/85241_200w.jpg,3,1398,https://cpt.tcgcsv.com/R6J,2026-02-13T15:56:32.117,1,94/115,Common,Item,,,"Search your deck for a basic Energy card, show it to your opponent, and put it into your hand.  Shuffle your deck afterward.",,,,,0.05,0.25,3.5,0.3,0.15,Normal,,,
